# ell  Dl_TT  Dl_EE  Dl_TE
     508    1.149884e+03    5.827635e+00    5.217444e+00
     516    1.182263e+03    6.435041e+00    1.150421e+01
     524    1.343865e+03    6.715221e+00    1.883731e+01
     532    1.396860e+03    7.993135e+00    2.636264e+01
     540    1.228050e+03    1.004474e+01    3.828760e+01
     548    1.147616e+03    1.193757e+01    3.530949e+01
     556    1.318374e+03    1.274579e+01    3.050970e+01
     564    1.261764e+03    1.423825e+01    3.972138e+01
     572    1.146219e+03    1.606054e+01    2.782856e+01
     580    1.276356e+03    1.576903e+01    2.075081e+01
     588    1.218455e+03    1.559000e+01    3.411090e+01
     596    1.190472e+03    1.582991e+01    3.210756e+01
     604    1.339123e+03    1.566089e+01    4.340472e+01
     612    1.038163e+03    1.906806e+01    5.629092e+01
     620    1.168743e+03    2.205748e+01    4.401075e+01
     628    9.174707e+02    2.615166e+01    4.019751e+01
     636    9.946482e+02    2.613836e+01    2.877329e+00
     644    9.508023e+02    2.346200e+01   -1.274510e+00
     652    9.969582e+02    1.957279e+01   -1.146182e+01
     660    9.729604e+02    1.895773e+01    1.471432e+01
     668    8.713226e+02    2.116272e+01    3.065849e+00
     676    7.535939e+02    2.398312e+01   -9.106164e+00
     684    1.038343e+03    2.020908e+01   -4.303014e+01
     692    8.910139e+02    1.674752e+01   -2.627729e+01
     700    9.780335e+02    1.423778e+01   -7.176122e+00
     708    7.327487e+02    1.683476e+01   -3.056869e+01
     716    9.921743e+02    1.548828e+01   -3.649706e+01
     724    1.088119e+03    1.111135e+01   -3.838313e+01
     732    7.550687e+02    1.186554e+01   -1.514965e+01
     740    1.001407e+03    1.044174e+01   -2.580893e+01
     748    1.243465e+03    8.680886e+00   -4.988503e+01
     756    1.117079e+03    8.395740e+00   -4.034677e+00
     764    9.952786e+02    7.568576e+00   -2.264341e+00
     772    1.173526e+03    6.712022e+00   -2.697037e+01
     780    1.329368e+03    7.945756e+00    4.641895e+00
     788    1.107891e+03    7.169728e+00    1.851237e+01
     796    1.365670e+03    5.276192e+00   -2.457563e+00
     804    1.411645e+03    8.411911e+00    2.845944e+01
     812    1.021553e+03    1.049099e+01    3.722868e+01
     820    1.274819e+03    6.413842e+00    3.053938e+01
     828    1.526086e+03    9.266670e+00    6.526930e+01
     836    9.793373e+02    1.243642e+01    4.024769e+01
     844    1.176744e+03    9.666296e+00    4.446416e+01
     852    1.405073e+03    1.475492e+01    1.028755e+02
     860    1.014646e+03    1.333533e+01    5.362341e+01
     868    1.320747e+03    1.098436e+01    6.125797e+01
     876    1.102082e+03    1.844049e+01    9.204175e+01
     884    8.175484e+02    1.452610e+01    4.412426e+01
     892    1.193268e+03    1.795854e+01    9.954586e+01
     900    8.081142e+02    1.977321e+01    7.666783e+01
     908    9.586641e+02    1.412847e+01    6.022578e+01
     916    8.833954e+02    2.039025e+01    9.488264e+01
     924    6.710729e+02    1.429778e+01    3.263399e+01
     932    8.821734e+02    1.810750e+01    7.101872e+01
     940    5.460072e+02    1.835660e+01    3.614874e+01
     948    7.023385e+02    1.542103e+01    4.320515e+01
