# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
1.25737754e-04 2.44925162e+11 8.46969509e-05 8.01359091e+11
1.26295887e-04 2.41654606e+11 8.50729096e-05 7.90658313e+11
1.26856498e-04 2.38427718e+11 8.54505372e-05 7.80100411e+11
1.27419598e-04 2.35243914e+11 8.58298410e-05 7.69683473e+11
1.27985197e-04 2.32102617e+11 8.62108285e-05 7.59405610e+11
1.28553306e-04 2.29003256e+11 8.65935072e-05 7.49264959e+11
1.29123938e-04 2.25945271e+11 8.69778845e-05 7.39259681e+11
1.29697102e-04 2.22928106e+11 8.73639680e-05 7.29387962e+11
1.30272811e-04 2.19951216e+11 8.77517653e-05 7.19648014e+11
1.30851075e-04 2.17014059e+11 8.81412840e-05 7.10038071e+11
1.31431906e-04 2.14116106e+11 8.85325317e-05 7.00556393e+11
1.32015315e-04 2.11256829e+11 8.89255161e-05 6.91201262e+11
1.32601314e-04 2.08435713e+11 8.93202449e-05 6.81970983e+11
1.33189914e-04 2.05652248e+11 8.97167259e-05 6.72863896e+11
1.33781126e-04 2.02905937e+11 9.01149667e-05 6.63878372e+11
1.34374963e-04 2.00196290e+11 9.05149754e-05 6.55012804e+11
1.34971436e-04 1.97522822e+11 9.09167596e-05 6.46265609e+11
1.35570557e-04 1.94885054e+11 9.13203272e-05 6.37635220e+11
1.36172337e-04 1.92282514e+11 9.17256863e-05 6.29120094e+11
1.36776788e-04 1.89714737e+11 9.21328447e-05 6.20718706e+11
1.37383923e-04 1.87181263e+11 9.25418104e-05 6.12429551e+11
1.37993752e-04 1.84681638e+11 9.29525915e-05 6.04251144e+11
1.38606289e-04 1.82215413e+11 9.33651959e-05 5.96182019e+11
1.39221544e-04 1.79782144e+11 9.37796319e-05 5.88220720e+11
1.39839530e-04 1.77381387e+11 9.41959075e-05 5.80365799e+11
1.40460260e-04 1.75012707e+11 9.46140309e-05 5.72615825e+11
1.41083744e-04 1.72675671e+11 9.50340103e-05 5.64969387e+11
1.41709997e-04 1.70369854e+11 9.54558539e-05 5.57425096e+11
1.42339029e-04 1.68094838e+11 9.58795700e-05 5.49981577e+11
1.42970854e-04 1.65850208e+11 9.63051669e-05 5.42637477e+11
1.43605483e-04 1.63635556e+11 9.67326530e-05 5.35391460e+11
1.44242929e-04 1.61450479e+11 9.71620367e-05 5.28242211e+11
1.44883204e-04 1.59294580e+11 9.75933264e-05 5.21188428e+11
1.45526322e-04 1.57167469e+11 9.80265305e-05 5.14228832e+11
1.46172294e-04 1.55068759e+11 9.84616575e-05 5.07362164e+11
1.46821134e-04 1.52998072e+11 9.88987160e-05 5.00587180e+11
1.47472854e-04 1.50955033e+11 9.93377145e-05 4.93902656e+11
1.48127467e-04 1.48939272e+11 9.97786617e-05 4.87307382e+11
1.48784985e-04 1.46950424e+11 1.00221566e-04 4.80800165e+11
1.49445423e-04 1.44988130e+11 1.00666437e-04 4.74379828e+11
1.50108791e-04 1.43052035e+11 1.01113282e-04 4.68045209e+11
1.50775105e-04 1.41141788e+11 1.01562111e-04 4.61795162e+11
1.51444376e-04 1.39257044e+11 1.02012932e-04 4.55628558e+11
1.52116618e-04 1.37397463e+11 1.02465754e-04 4.49544281e+11
1.52791844e-04 1.35562707e+11 1.02920586e-04 4.43541232e+11
1.53470067e-04 1.33752447e+11 1.03377437e-04 4.37618327e+11
1.54151301e-04 1.31966355e+11 1.03836316e-04 4.31774495e+11
1.54835558e-04 1.30204108e+11 1.04297232e-04 4.26008682e+11
1.55522853e-04 1.28465387e+11 1.04760194e-04 4.20319845e+11
1.56213199e-04 1.26749880e+11 1.05225211e-04 4.14706956e+11
1.56906609e-04 1.25057275e+11 1.05692292e-04 4.09169003e+11
1.57603097e-04 1.23387268e+11 1.06161446e-04 4.03704984e+11
1.58302677e-04 1.21739556e+11 1.06632683e-04 3.98313913e+11
1.59005362e-04 1.20113842e+11 1.07106012e-04 3.92994817e+11
1.59711166e-04 1.18509834e+11 1.07581441e-04 3.87746738e+11
1.60420103e-04 1.16927242e+11 1.08058981e-04 3.82568732e+11
1.61132187e-04 1.15365783e+11 1.08538641e-04 3.77459867e+11
1.61847432e-04 1.13825175e+11 1.09020430e-04 3.72419224e+11
1.62565851e-04 1.12305140e+11 1.09504357e-04 3.67445894e+11
1.63287460e-04 1.10805405e+11 1.09990433e-04 3.62538983e+11
1.64012272e-04 1.09325701e+11 1.10478666e-04 3.57697606e+11
1.64740301e-04 1.07865759e+11 1.10969067e-04 3.52920892e+11
1.65471562e-04 1.06425318e+11 1.11461644e-04 3.48207980e+11
1.66206068e-04 1.05004116e+11 1.11956408e-04 3.43558018e+11
1.66943835e-04 1.03601897e+11 1.12453368e-04 3.38970164e+11
1.67684877e-04 1.02218406e+11 1.12952533e-04 3.34443584e+11
1.68429209e-04 1.00853391e+11 1.13453915e-04 3.29977456e+11
1.69176844e-04 9.95066047e+10 1.13957522e-04 3.25570969e+11
1.69927798e-04 9.81778028e+10 1.14463365e-04 3.21223325e+11
1.70682086e-04 9.68667439e+10 1.14971453e-04 3.16933733e+11
1.71439721e-04 9.55731903e+10 1.15481796e-04 3.12701416e+11
1.72200720e-04 9.42969074e+10 1.15994405e-04 3.08525606e+11
1.72965096e-04 9.30376636e+10 1.16509289e-04 3.04405546e+11
1.73732866e-04 9.17952311e+10 1.17026459e-04 3.00340489e+11
1.74504044e-04 9.05693862e+10 1.17545924e-04 2.96329705e+11
1.75278644e-04 8.93599086e+10 1.18067695e-04 2.92372472e+11
1.76056683e-04 8.81665805e+10 1.18591782e-04 2.88468079e+11
1.76838176e-04 8.69891874e+10 1.19118195e-04 2.84615821e+11
1.77623138e-04 8.58275173e+10 1.19646946e-04 2.80815008e+11
1.78411584e-04 8.46813612e+10 1.20178043e-04 2.77064954e+11
1.79203530e-04 8.35505128e+10 1.20711498e-04 2.73364984e+11
1.79998991e-04 8.24347684e+10 1.21247320e-04 2.69714433e+11
1.80797983e-04 8.13339272e+10 1.21785521e-04 2.66112642e+11
1.81600522e-04 8.02477904e+10 1.22326111e-04 2.62558962e+11
1.82406623e-04 7.91761605e+10 1.22869101e-04 2.59052747e+11
1.83216302e-04 7.81188425e+10 1.23414501e-04 2.55593358e+11
