# ell  Dl_TT[uK2]  Dl_EE[uK2]  Dl_TE[uK2]
    1220    1.337881e+03    1.745285e+01    9.536796e+01
    1228    1.030162e+03    1.604497e+01    3.444213e+01
    1236    9.991881e+02    2.262650e+01    6.688823e+01
    1244    1.067054e+03    1.715001e+01    2.451380e+01
    1252    8.001259e+02    1.887790e+01    4.277251e+01
    1260    1.180597e+03    1.130849e+01    4.260424e+01
    1268    6.903582e+02    1.677938e+01    4.045493e+01
    1276    1.088505e+03    2.003572e+01    8.566419e+01
    1284    6.555541e+02    2.124571e+01    4.795489e+01
    1292    9.269471e+02    2.472231e+01    8.484692e+01
    1300    7.151094e+02    1.602623e+01    2.181502e+01
    1308    6.829447e+02    2.269401e+01    5.592212e+01
    1316    8.241217e+02    1.694673e+01    6.737816e+01
    1324    6.550362e+02    2.616324e+01    6.772127e+01
    1332    8.539272e+02    3.019730e+01    1.036000e+02
    1340    5.578988e+02    2.214944e+01    3.217220e+01
    1348    6.434145e+02    3.006316e+01    7.644099e+01
    1356    7.066887e+02    1.745395e+01    4.939775e+01
    1364    6.002641e+02    3.455055e+01    8.192605e+01
    1372    7.332728e+02    3.943911e+01    1.067133e+02
    1380    4.368186e+02    2.763540e+01    5.259985e+01
    1388    8.048950e+02    3.804490e+01    9.362589e+01
    1396    6.403044e+02    2.113586e+01    5.874246e+01
    1404    6.084811e+02    4.279518e+01    8.928343e+01
    1412    6.665323e+02    4.643712e+01    1.088591e+02
    1420    4.664584e+02    2.819403e+01    2.822474e+01
    1428    6.842697e+02    4.863928e+01    1.086938e+02
    1436    6.620693e+02    3.400724e+01    1.070879e+02
    1444    7.355728e+02    4.937888e+01    9.254993e+01
    1452    7.326976e+02    5.276525e+01    1.217577e+02
    1460    6.862741e+02    2.227438e+01    4.602939e+01
    1468    9.581561e+02    5.630696e+01    1.275769e+02
    1476    7.491137e+02    4.908260e+01    1.216456e+02
    1484    6.295763e+02    3.523413e+01    3.428894e+01
    1492    8.913475e+02    5.541761e+01    1.226382e+02
    1500    7.175577e+02    3.606699e+01    9.980602e+01
    1512    1.113162e+03    5.947252e+01    1.582811e+02
    1524    6.969467e+02    2.587068e+01    6.572152e+01
    1536    1.151651e+03    5.458856e+01    1.384948e+02
    1548    6.683145e+02    2.624396e+01    4.360325e+01
    1560    1.125988e+03    4.758737e+01    1.234186e+02
    1572    6.553175e+02    3.136355e+01    5.213057e+01
    1584    1.044140e+03    3.981845e+01    1.030634e+02
    1596    7.172628e+02    3.422960e+01    7.730903e+01
    1608    1.019251e+03    3.307417e+01    9.019544e+01
    1620    8.504183e+02    3.492432e+01    8.798154e+01
    1632    1.071116e+03    2.804782e+01    7.238513e+01
