# ell  Dl_CLASS  Dl_mlx_final  residual_pct
   209  5.696117e+03  5.428966e+03  -4.6901
   210  5.703185e+03  5.444068e+03  -4.5434
   211  5.709639e+03  5.458322e+03  -4.4016
   212  5.715477e+03  5.471804e+03  -4.2634
   213  5.720698e+03  5.484571e+03  -4.1276
   214  5.725299e+03  5.496612e+03  -3.9943
   215  5.729279e+03  5.507898e+03  -3.8640
   216  5.732636e+03  5.518403e+03  -3.7371
   217  5.735370e+03  5.528152e+03  -3.6130
   218  5.737479e+03  5.537394e+03  -3.4873
   219  5.738961e+03  5.546432e+03  -3.3548
   220  5.739817e+03  5.555571e+03  -3.2100
   221  5.740045e+03  5.564992e+03  -3.0497
   222  5.739644e+03  5.574389e+03  -2.8792
   223  5.738615e+03  5.583335e+03  -2.7059
   224  5.736957e+03  5.591402e+03  -2.5371
   225  5.734671e+03  5.598336e+03  -2.3774
   226  5.731757e+03  5.604586e+03  -2.2187
   227  5.728217e+03  5.610771e+03  -2.0503
   228  5.724053e+03  5.617513e+03  -1.8613
   229  5.719266e+03  5.625132e+03  -1.6459
   230  5.713857e+03  5.632731e+03  -1.4198
   231  5.707829e+03  5.639113e+03  -1.2039
   232  5.701184e+03  5.643080e+03  -1.0192
   233  5.693924e+03  5.643883e+03  -0.8788
   234  5.686051e+03  5.642569e+03  -0.7647
   235  5.677570e+03  5.640633e+03  -0.6506
   236  5.668481e+03  5.639572e+03  -0.5100
   237  5.658790e+03  5.640349e+03  -0.3259
   238  5.648499e+03  5.641794e+03  -0.1187
   239  5.637612e+03  5.642205e+03  +0.0815
   240  5.626133e+03  5.639878e+03  +0.2443
   241  5.614066e+03  5.633691e+03  +0.3496
   242  5.601414e+03  5.624830e+03  +0.4180
   243  5.588184e+03  5.615063e+03  +0.4810
   244  5.574379e+03  5.606155e+03  +0.5700
   245  5.560005e+03  5.599318e+03  +0.7071
   246  5.545067e+03  5.593541e+03  +0.8742
   247  5.529570e+03  5.587255e+03  +1.0432
   248  5.513519e+03  5.578895e+03  +1.1857
   249  5.496922e+03  5.567358e+03  +1.2814
   250  5.479784e+03  5.553400e+03  +1.3434
   251  5.462110e+03  5.538240e+03  +1.3938
   252  5.443905e+03  5.523100e+03  +1.4547
   253  5.425177e+03  5.508887e+03  +1.5430
   254  5.405929e+03  5.495266e+03  +1.6526
   255  5.386168e+03  5.481587e+03  +1.7716
   256  5.365902e+03  5.467204e+03  +1.8879
   257  5.345135e+03  5.451569e+03  +1.9912
   258  5.323875e+03  5.434539e+03  +2.0786
   259  5.302128e+03  5.416072e+03  +2.1490
   260  5.279903e+03  5.396125e+03  +2.2012
   261  5.257205e+03  5.374808e+03  +2.2370
   262  5.234043e+03  5.352832e+03  +2.2695
   263  5.210425e+03  5.331061e+03  +2.3153
   264  5.186358e+03  5.310359e+03  +2.3909
   265  5.161851e+03  5.291222e+03  +2.5063
   266  5.136912e+03  5.272681e+03  +2.6430
   267  5.111550e+03  5.253403e+03  +2.7752
   268  5.085773e+03  5.232053e+03  +2.8762
   269  5.059592e+03  5.207703e+03  +2.9273
   270  5.033015e+03  5.181059e+03  +2.9415
   271  5.006051e+03  5.153237e+03  +2.9402
   272  4.978712e+03  5.125349e+03  +2.9453
   273  4.951006e+03  5.098275e+03  +2.9745
   274  4.922944e+03  5.071956e+03  +3.0269
   275  4.894537e+03  5.046100e+03  +3.0966
   276  4.865796e+03  5.020412e+03  +3.1776
   277  4.836731e+03  4.994557e+03  +3.2631
   278  4.807354e+03  4.968026e+03  +3.3422
   279  4.777676e+03  4.940268e+03  +3.4032
   280  4.747705e+03  4.910730e+03  +3.4338
   281  4.717450e+03  4.879123e+03  +3.4271
   282  4.686919e+03  4.846197e+03  +3.3983
   283  4.656121e+03  4.812966e+03  +3.3686
   284  4.625065e+03  4.780442e+03  +3.3595
   285  4.593759e+03  4.749353e+03  +3.3871
   286  4.562213e+03  4.719281e+03  +3.4428
   287  4.530435e+03  4.689524e+03  +3.5116
   288  4.498436e+03  4.659379e+03  +3.5778
   289  4.466223e+03  4.628297e+03  +3.6289
   290  4.433808e+03  4.596336e+03  +3.6656
   291  4.401200e+03  4.563711e+03  +3.6924
   292  4.368409e+03  4.530633e+03  +3.7136
   293  4.335444e+03  4.497357e+03  +3.7346
   294  4.302317e+03  4.464292e+03  +3.7648
   295  4.269038e+03  4.431889e+03  +3.8147
   296  4.235616e+03  4.400601e+03  +3.8952
   297  4.202063e+03  4.370738e+03  +4.0141
   298  4.168390e+03  4.342059e+03  +4.1663
   299  4.134608e+03  4.314182e+03  +4.3432
   300  4.100727e+03  4.286727e+03  +4.5358
   301  4.066760e+03  4.259344e+03  +4.7356
   302  4.032717e+03  4.231811e+03  +4.9370
   303  3.998611e+03  4.203936e+03  +5.1349
   304  3.964453e+03  4.175528e+03  +5.3242
   305  3.930255e+03  4.146507e+03  +5.5023
   306  3.896029e+03  4.117237e+03  +5.6778
   307  3.861788e+03  4.088191e+03  +5.8627
   308  3.827543e+03  4.059845e+03  +6.0692
   309  3.793308e+03  4.032485e+03  +6.3052
   310  3.759096e+03  4.005651e+03  +6.5589
   311  3.724919e+03  3.978693e+03  +6.8129
   312  3.690789e+03  3.950963e+03  +7.0493
   313  3.656716e+03  3.921897e+03  +7.2519
   314  3.622707e+03  3.891270e+03  +7.4133
   315  3.588770e+03  3.858942e+03  +7.5283
   316  3.554914e+03  3.824771e+03  +7.5911
   317  3.521146e+03  3.788738e+03  +7.5996
   318  3.487475e+03  3.751303e+03  +7.5650
   319  3.453909e+03  3.713047e+03  +7.5027
   320  3.420457e+03  3.674549e+03  +7.4286
   321  3.387125e+03  3.636362e+03  +7.3584
   322  3.353923e+03  3.598927e+03  +7.3050
   323  3.320859e+03  3.562655e+03  +7.2812
   324  3.287940e+03  3.527960e+03  +7.3000
   325  3.255176e+03  3.495127e+03  +7.3714
   326  3.222575e+03  3.463942e+03  +7.4899
   327  3.190145e+03  3.434065e+03  +7.6460
   328  3.157895e+03  3.405155e+03  +7.8299
   329  3.125832e+03  3.376945e+03  +8.0335
   330  3.093966e+03  3.349463e+03  +8.2579
   331  3.062305e+03  3.322813e+03  +8.5069
   332  3.030856e+03  3.297096e+03  +8.7843
   333  2.999630e+03  3.272362e+03  +9.0922
   334  2.968634e+03  3.248453e+03  +9.4259
   335  2.937877e+03  3.225157e+03  +9.7785
   336  2.907367e+03  3.202263e+03  +10.1431
   337  2.877113e+03  3.179476e+03  +10.5092
   338  2.847124e+03  3.156167e+03  +10.8546
   339  2.817408e+03  3.131626e+03  +11.1527
   340  2.787974e+03  3.105139e+03  +11.3762
   341  2.758831e+03  3.076185e+03  +11.5032
   342  2.729986e+03  3.045003e+03  +11.5391
   343  2.701450e+03  3.012022e+03  +11.4965
   344  2.673230e+03  2.977669e+03  +11.3884
   345  2.645335e+03  2.942445e+03  +11.2314
   346  2.617775e+03  2.907127e+03  +11.0533
   347  2.590557e+03  2.872563e+03  +10.8859
   348  2.563691e+03  2.839602e+03  +10.7622
   349  2.537185e+03  2.809000e+03  +10.7133
   350  2.511043e+03  2.781148e+03  +10.7567
   351  2.485270e+03  2.756342e+03  +10.9071
   352  2.459870e+03  2.734881e+03  +11.1799
   353  2.434846e+03  2.716817e+03  +11.5806
   354  2.410204e+03  2.701222e+03  +12.0744
   355  2.385945e+03  2.686923e+03  +12.6146
   356  2.362075e+03  2.672747e+03  +13.1525
   357  2.338596e+03  2.657615e+03  +13.6415
   358  2.315513e+03  2.640834e+03  +14.0496
   359  2.292828e+03  2.621806e+03  +14.3481
   360  2.270545e+03  2.599931e+03  +14.5069
   361  2.248667e+03  2.574821e+03  +14.5043
   362  2.227198e+03  2.546929e+03  +14.3558
   363  2.206139e+03  2.516918e+03  +14.0870
   364  2.185494e+03  2.485449e+03  +13.7248
   365  2.165266e+03  2.453318e+03  +13.3033
   366  2.145457e+03  2.421848e+03  +12.8826
   367  2.126070e+03  2.392497e+03  +12.5314
   368  2.107107e+03  2.366719e+03  +12.3208
   369  2.088571e+03  2.345616e+03  +12.3072
   370  2.070464e+03  2.328867e+03  +12.4805
   371  2.052787e+03  2.315797e+03  +12.8123
   372  2.035544e+03  2.305728e+03  +13.2733
   373  2.018735e+03  2.297821e+03  +13.8248
   374  2.002362e+03  2.290579e+03  +14.3938
   375  1.986428e+03  2.282340e+03  +14.8967
   376  1.970933e+03  2.271443e+03  +15.2471
   377  1.955879e+03  2.256582e+03  +15.3743
   378  1.941267e+03  2.237876e+03  +15.2792
   379  1.927098e+03  2.215800e+03  +14.9812
   380  1.913373e+03  2.190828e+03  +14.5008
   381  1.900094e+03  2.163675e+03  +13.8720
   382  1.887260e+03  2.136008e+03  +13.1804
   383  1.874873e+03  2.109735e+03  +12.5268
   384  1.862933e+03  2.086764e+03  +12.0150
   385  1.851439e+03  2.068590e+03  +11.7288
   386  1.840394e+03  2.055068e+03  +11.6646
   387  1.829796e+03  2.045641e+03  +11.7961
   388  1.819645e+03  2.039749e+03  +12.0960
   389  1.809941e+03  2.036569e+03  +12.5213
   390  1.800682e+03  2.034203e+03  +12.9685
