# ell  C_l  D_l[muK^2]
   940  3.55640971e-15  3.71913350e+03
   948  3.30117814e-15  3.51120361e+03
   956  3.06089289e-15  3.31078110e+03
   964  2.84030434e-15  3.12378927e+03
   972  2.64347463e-15  2.95574359e+03
   980  2.47360895e-15  2.81150352e+03
   988  2.33304595e-15  2.69518781e+03
   996  2.22318493e-15  2.61001252e+03
  1004  2.14452395e-15  2.55825115e+03
  1012  2.09667421e-15  2.54116822e+03
  1020  2.07844034e-15  2.55903356e+03
  1028  2.08778608e-15  2.61100072e+03
  1036  2.12211950e-15  2.69538528e+03
  1044  2.17813294e-15  2.80940064e+03
  1052  2.25215452e-15  2.94954345e+03
  1060  2.34015404e-15  3.11156014e+03
  1068  2.43784913e-15  3.29054843e+03
  1076  2.54087268e-15  3.48115518e+03
  1084  2.64493089e-15  3.67778091e+03
  1092  2.74584216e-15  3.87463569e+03
  1100  2.83966059e-15  4.06592106e+03
  1108  2.92282567e-15  4.24606584e+03
  1116  2.99217141e-15  4.40977409e+03
  1124  3.04506650e-15  4.55227113e+03
  1132  3.07936943e-15  4.66928772e+03
  1140  3.09353712e-15  4.75727581e+03
  1148  3.08666281e-15  4.81352920e+03
  1156  3.05835476e-15  4.83605864e+03
  1164  3.00885881e-15  4.82384361e+03
  1172  2.93893942e-15  4.77670875e+03
  1180  2.84986501e-15  4.69535786e+03
  1188  2.74334575e-15  4.58132757e+03
  1196  2.62149370e-15  4.43697165e+03
  1204  2.48672187e-15  4.26533603e+03
  1212  2.34168463e-15  4.07009297e+03
  1220  2.18915157e-15  3.85535018e+03
  1228  2.03203712e-15  3.62572108e+03
  1236  1.87320045e-15  3.38598420e+03
  1244  1.71544977e-15  3.14108900e+03
  1252  1.56144880e-15  2.89598064e+03
  1260  1.41364473e-15  2.65545175e+03
  1268  1.27422872e-15  2.42404551e+03
  1276  1.14509516e-15  2.20594995e+03
  1284  1.02779539e-15  2.00487510e+03
  1292  9.23528704e-16  1.82399625e+03
  1300  8.33116672e-16  1.66586184e+03
  1308  7.57019762e-16  1.53238225e+03
  1316  6.95316959e-16  1.42474450e+03
  1324  6.47756959e-16  1.34347149e+03
  1332  6.13744245e-16  1.28835133e+03
  1340  5.92390279e-16  1.25850227e+03
  1348  5.82575391e-16  1.25246755e+03
  1356  5.82966244e-16  1.26822249e+03
  1364  5.92072113e-16  1.30326920e+03
  1372  6.08276912e-16  1.35468551e+03
  1380  6.29893457e-16  1.41922864e+03
  1388  6.55234618e-16  1.49348564e+03
  1396  6.82661810e-16  1.57398263e+03
  1404  7.10582927e-16  1.65718390e+03
  1412  7.37520534e-16  1.73965640e+03
  1420  7.62140182e-16  1.81815032e+03
  1428  7.83303459e-16  1.88974404e+03
  1436  8.00055547e-16  1.95183838e+03
  1444  8.11638881e-16  2.00221351e+03
  1452  8.17518243e-16  2.03911720e+03
  1460  8.17400188e-16  2.06134322e+03
  1468  8.11192654e-16  2.06816110e+03
  1476  7.98993315e-16  2.05931367e+03
  1484  7.81108108e-16  2.03509180e+03
  1492  7.58033025e-16  1.99631588e+03
  1500  7.30370888e-16  1.94414167e+03
  1512  6.81925474e-16  1.84433640e+03
  1524  6.27735164e-16  1.72481997e+03
  1536  5.70885436e-16  1.59340638e+03
  1548  5.14510470e-16  1.45857611e+03
  1560  4.61543647e-16  1.32877908e+03
  1572  4.14542768e-16  1.21188975e+03
  1584  3.75564006e-16  1.11475880e+03
  1596  3.46024632e-16  1.04269508e+03
  1608  3.26682052e-16  9.99263141e+02
  1620  3.17608238e-16  9.86057618e+02
  1632  3.18227075e-16  1.00266527e+03
  1644  3.27395228e-16  1.04677313e+03
  1656  3.43499098e-16  1.11434828e+03
  1668  3.64563378e-16  1.19988031e+03
  1680  3.88406349e-16  1.29680842e+03
  1692  4.12812889e-16  1.39805118e+03
  1704  4.35653106e-16  1.49639860e+03
  1716  4.54955848e-16  1.58478129e+03
  1728  4.69102516e-16  1.65698661e+03
  1740  4.76873461e-16  1.70790487e+03
  1752  4.77449602e-16  1.73362858e+03
  1764  4.70515208e-16  1.73192651e+03
  1776  4.56212951e-16  1.70219968e+03
  1788  4.35056742e-16  1.64526653e+03
  1800  4.08008465e-16  1.56375206e+03
  1812  3.76223448e-16  1.46121580e+03
  1824  3.41158375e-16  1.34262968e+03
  1836  3.04270064e-16  1.21325912e+03
  1848  2.67131401e-16  1.07913636e+03
  1860  2.31143089e-16  9.45916354e+02
  1872  1.97643240e-16  8.19290824e+02
  1884  1.67655216e-16  7.03917607e+02
  1896  1.42036493e-16  6.03973814e+02
  1908  1.21273426e-16  5.22230762e+02
  1920  1.05583286e-16  4.60401013e+02
  1932  9.49300794e-17  4.19136347e+02
  1944  8.89429130e-17  3.97593906e+02
  1956  8.70733128e-17  3.94055368e+02
  1968  8.86235286e-17  4.06005907e+02
  1980  9.27345501e-17  4.30034936e+02
  1992  9.84955454e-17  4.62301951e+02
  2004  1.05029584e-16  4.98926124e+02
  2016  1.11513132e-16  5.36086589e+02
  2028  1.17207774e-16  5.70189111e+02
  2040  1.21504057e-16  5.98103655e+02
  2052  1.23968844e-16  6.17435165e+02
  2064  1.24350247e-16  6.26597856e+02
  2076  1.22561750e-16  6.24786020e+02
  2088  1.18689856e-16  6.12061473e+02
  2100  1.12967461e-16  5.89265776e+02
  2112  1.05733521e-16  5.57851508e+02
  2124  9.74211503e-17  5.19851384e+02
  2136  8.85171598e-17  4.77689555e+02
  2148  7.95147944e-17  4.33941451e+02
  2160  7.08910262e-17  3.91212106e+02
  2172  6.30763731e-17  3.51964421e+02
  2184  5.64205734e-17  3.18312780e+02
  2196  5.11778862e-17  2.91915558e+02
  2208  4.74981798e-17  2.73895096e+02
  2220  4.54265126e-17  2.64803325e+02
  2232  4.49152257e-17  2.64660424e+02
  2244  4.58230233e-17  2.72920050e+02
  2256  4.79100529e-17  2.88409665e+02
  2268  5.08580551e-17  3.09421010e+02
  2280  5.43500577e-17  3.34173991e+02
  2292  5.80769133e-17  3.60856638e+02
  2304  6.16583936e-17  3.87131147e+02
  2316  6.47709551e-17  4.10920109e+02
  2328  6.72103504e-17  4.30825230e+02
  2340  6.86969594e-17  4.44905004e+02
  2352  6.91273779e-17  4.52295048e+02
  2364  6.84287610e-17  4.52303344e+02
  2376  6.65761875e-17  4.44536109e+02
  2388  6.36790105e-17  4.29496158e+02
  2400  5.98098831e-17  4.07463640e+02
  2412  5.51870983e-17  3.79738551e+02
  2424  5.00023864e-17  3.47494228e+02
  2436  4.44509755e-17  3.11979900e+02
  2448  3.88360437e-17  2.75262902e+02
  2460  3.32991052e-17  2.38337175e+02
  2472  2.80826594e-17  2.02966012e+02
  2484  2.33874201e-17  1.70676137e+02
  2496  1.92915526e-17  1.42148673e+02
