# ell  C_l  D_l[muK^2]
  1716  3.84691183e-16  1.34002320e+03
  1728  8.72217513e-16  3.08088891e+03
  1740  7.07480828e-16  2.53381673e+03
  1752  8.03285707e-16  2.91674567e+03
  1764  7.13345843e-16  2.62576545e+03
  1776  1.57113494e-16  5.86214264e+02
  1788  7.37618525e-16  2.78947308e+03
  1800  6.14580213e-16  2.35546847e+03
  1812  2.84558733e-16  1.10519884e+03
  1824  4.93365404e-16  1.94164085e+03
  1836  2.83989713e-16  1.13239240e+03
  1848  3.27959166e-16  1.32486356e+03
  1860  2.64279971e-16  1.08152378e+03
  1872  1.26463475e-16  5.24229235e+02
  1884  2.10742472e-16  8.84823865e+02
  1896  1.76498598e-16  7.50515088e+02
  1908  1.08150768e-16  4.65721633e+02
  1920  1.74996319e-16  7.63079894e+02
  1932  1.45039529e-16  6.40380151e+02
  1944  9.96681037e-17  4.45537810e+02
  1956  1.86747736e-16  8.45137799e+02
  1968  1.89582610e-16  8.68523977e+02
  1980  9.96448169e-17  4.62079694e+02
  1992  2.36582496e-16  1.11043143e+03
  2004  2.56963168e-16  1.22066214e+03
  2016  9.78391942e-17  4.70350703e+02
  2028  3.00327125e-16  1.46102303e+03
  2040  2.99713609e-16  1.47534007e+03
  2052  1.12905138e-16  5.62331633e+02
  2064  3.70233046e-16  1.86559527e+03
  2076  2.91102725e-16  1.48396145e+03
  2088  1.25901363e-16  6.49249867e+02
  2100  3.76492751e-16  1.96387784e+03
  2112  2.38296044e-16  1.25725319e+03
  2124  6.52036698e-17  3.47934898e+02
  2136  2.83074917e-16  1.52763522e+03
  2148  1.62834262e-16  8.88646404e+02
  2160  6.85712280e-17  3.78410300e+02
  2172  1.28619783e-16  7.17694838e+02
  2184  9.71525019e-17  5.48113588e+02
  2196  4.98761951e-17  2.84490790e+02
  2208  8.26807256e-17  4.76772908e+02
  2220  5.10257577e-17  2.97442827e+02
  2232  5.78132677e-17  3.40661406e+02
  2244  3.61891584e-17  2.15541145e+02
  2256  6.58346498e-17  3.96312425e+02
  2268  6.16066650e-17  3.74815679e+02
  2280  6.86465014e-17  4.22076376e+02
  2292  6.20692906e-17  3.85662981e+02
  2304  3.18743031e-17  2.00127425e+02
  2316  6.71882614e-17  4.26255991e+02
  2328  6.01292874e-17  3.85434891e+02
  2340  1.46053759e-16  9.45894094e+02
  2352  1.10117228e-16  7.20488443e+02
  2364  4.87830627e-17  3.22448369e+02
  2376  1.21078423e-16  8.08453190e+02
  2388  6.40771756e-17  4.32181664e+02
  2400  6.49041047e-17  4.42168774e+02
  2412  5.08146149e-17  3.49651800e+02
  2424  1.22843058e-16  8.53704322e+02
  2436  5.21447743e-17  3.65978952e+02
  2448  1.24722144e-17  8.84008153e+01
  2460  5.95883906e-17  4.26501813e+02
  2472  4.38216962e-17  3.16719112e+02
  2484  3.03957740e-17  2.21821530e+02
  2496  1.13421227e-17  8.35737654e+01
