# ell  C_l  D_l[muK^2]
   780  4.58406777e-15  3.30148380e+03
   788  6.47973682e-15  4.76291787e+03
   796  5.22758200e-15  3.92089080e+03
   804  7.36939586e-15  5.63892501e+03
   812  7.35677168e-15  5.74177747e+03
   820  8.30344281e-15  6.60887766e+03
   828  9.17420623e-15  7.44502002e+03
   836  8.17280491e-15  6.76106906e+03
   844  9.97982265e-15  8.41461952e+03
   852  7.17138158e-15  6.16174841e+03
   860  9.94933031e-15  8.70979547e+03
   868  6.83848704e-15  6.09834562e+03
   876  9.62680981e-15  8.74376740e+03
   884  5.71191755e-15  5.28311385e+03
   892  8.73154427e-15  8.22280285e+03
   900  5.70097897e-15  5.46549176e+03
   908  7.35606695e-15  7.17807364e+03
   916  4.56767260e-15  4.53599201e+03
   924  6.85475727e-15  6.92657099e+03
   932  3.88056498e-15  3.98937646e+03
   940  5.22877250e-15  5.46801538e+03
   948  4.39134491e-15  4.67072828e+03
   956  3.82427752e-15  4.13648768e+03
   964  3.62812883e-15  3.99024491e+03
   972  3.43568252e-15  3.84153359e+03
   980  3.14973521e-15  3.57998851e+03
   988  3.13901432e-15  3.62626082e+03
   996  2.29967201e-15  2.69980812e+03
  1004  3.33365571e-15  3.97679335e+03
  1012  2.98866893e-15  3.62226543e+03
  1020  2.70047508e-15  3.32490003e+03
  1028  2.29878919e-15  2.87488276e+03
  1036  3.02766167e-15  3.84554909e+03
  1044  3.83795118e-15  4.95026831e+03
  1052  3.27878428e-15  4.29407336e+03
  1060  2.63422778e-15  3.50257207e+03
  1068  2.40604685e-15  3.24762250e+03
  1076  3.19052281e-15  4.37121667e+03
  1084  4.66792065e-15  6.49075160e+03
  1092  4.37312989e-15  6.17088824e+03
  1100  3.37584007e-15  4.83364078e+03
  1108  3.91981522e-15  5.69441881e+03
  1116  3.33573941e-15  4.91611449e+03
  1124  4.54613382e-15  6.79631585e+03
  1132  3.67141857e-15  5.56701948e+03
  1140  2.86509593e-15  4.40597642e+03
  1148  5.05305890e-15  7.88004653e+03
  1156  4.12224974e-15  6.51835481e+03
  1164  4.81017898e-15  7.71174475e+03
  1172  3.62229362e-15  5.88737609e+03
  1180  2.82457621e-15  4.65369274e+03
  1188  5.24619512e-15  8.76103144e+03
  1196  2.67536415e-15  4.52814930e+03
  1204  2.46931089e-15  4.23547196e+03
  1212  3.95880033e-15  6.88080932e+03
  1220  2.20081966e-15  3.87589904e+03
  1228  2.65341753e-15  4.73443706e+03
  1236  2.53366549e-15  4.57983626e+03
  1244  1.90226575e-15  3.48316000e+03
  1252  2.32882984e-15  4.31922335e+03
  1260  1.71281486e-15  3.21742594e+03
  1268  1.36759706e-15  2.60166598e+03
  1276  1.80345935e-15  3.47424495e+03
  1284  1.13021290e-15  2.20465640e+03
  1292  1.12633994e-15  2.22455439e+03
  1300  1.47017455e-15  2.93969350e+03
  1308  7.90609383e-16  1.60037537e+03
  1316  9.26560341e-16  1.89857552e+03
  1324  1.03319544e-15  2.14288491e+03
  1332  8.22251145e-16  1.72604203e+03
  1340  5.14952039e-16  1.09398877e+03
  1348  5.81211562e-16  1.24953548e+03
  1356  6.69385098e-16  1.45622365e+03
  1364  7.09041275e-16  1.56074173e+03
  1372  5.83317339e-16  1.29909837e+03
  1380  6.30892797e-16  1.42148028e+03
  1388  1.06347337e-15  2.42399007e+03
  1396  1.05527907e-15  2.43310949e+03
  1404  9.98401652e-16  2.32841950e+03
  1412  1.14398184e-15  2.69841345e+03
  1420  9.97939914e-16  2.38067066e+03
  1428  1.17721041e-15  2.84005686e+03
  1436  1.02287010e-15  2.49542314e+03
  1444  9.69158263e-16  2.39079450e+03
  1452  1.25176043e-15  3.12223763e+03
  1460  5.70524600e-16  1.43876529e+03
  1468  1.09364172e-15  2.78827384e+03
  1476  1.40459789e-15  3.62019004e+03
  1484  6.46136108e-16  1.68343701e+03
  1492  1.13383492e-15  2.98600796e+03
  1500  1.11281632e-15  2.96215611e+03
  1512  6.03862652e-16  1.63320761e+03
  1524  9.99207498e-16  2.74550981e+03
  1536  6.40178872e-16  1.78681226e+03
  1548  7.88402756e-16  2.23502823e+03
  1560  7.43852158e-16  2.14154218e+03
  1572  5.37245417e-16  1.57060324e+03
  1584  4.64814306e-16  1.37967386e+03
  1596  4.43076106e-16  1.33514563e+03
  1608  4.02466620e-16  1.23107485e+03
  1620  2.88388275e-16  8.95340301e+02
  1632  3.87142444e-16  1.21980281e+03
  1644  3.49950895e-16  1.11888983e+03
  1656  6.08308675e-16  1.97341923e+03
  1668  4.53097299e-16  1.49127027e+03
  1680  5.72660129e-16  1.91199365e+03
  1692  4.26777153e-16  1.44534320e+03
  1704  6.29482011e-16  2.16216982e+03
  1716  3.20545008e-16  1.11657809e+03
  1728  8.28594311e-16  2.92680092e+03
  1740  7.05753410e-16  2.52763005e+03
  1752  8.29645690e-16  3.01245927e+03
  1764  6.53871848e-16  2.40684673e+03
  1776  2.31648344e-16  8.64315086e+02
  1788  6.96382526e-16  2.63352972e+03
  1800  6.22078996e-16  2.38420866e+03
  1812  2.78709309e-16  1.08248024e+03
  1824  5.43017788e-16  2.13704793e+03
  1836  3.81882369e-16  1.52273365e+03
  1848  3.94924374e-16  1.59538432e+03
  1860  3.60753529e-16  1.47632648e+03
  1872  1.72005260e-16  7.13013667e+02
  1884  2.97154219e-16  1.24763244e+03
  1896  2.24827770e-16  9.56022516e+02
  1908  1.01870992e-16  4.38679497e+02
  1920  1.96780868e-16  8.58072472e+02
  1932  1.18805781e-16  5.24552612e+02
  1944  1.04848921e-16  4.68697176e+02
  1956  1.18100586e-16  5.34471108e+02
  1968  1.23511221e-16  5.65834898e+02
  1980  1.20877359e-16  5.60540675e+02
  1992  1.02064830e-16  4.79054863e+02
  2004  1.56515423e-16  7.43501309e+02
  2016  9.88114226e-17  4.75024579e+02
  2028  1.51323932e-16  7.36156444e+02
  2040  1.77665690e-16  8.74559262e+02
  2052  1.13426473e-16  5.64928180e+02
  2064  2.29621791e-16  1.15705860e+03
  2076  1.87629762e-16  9.56484812e+02
  2088  1.21425323e-16  6.26167764e+02
  2100  2.61752583e-16  1.36536519e+03
  2112  1.63837811e-16  8.64410537e+02
  2124  6.57896512e-17  3.51061768e+02
  2136  1.88936985e-16  1.01961275e+03
  2148  1.26213071e-16  6.88791105e+02
  2160  7.11175745e-17  3.92462313e+02
  2172  7.71637883e-17  4.30571810e+02
  2184  9.87578213e-17  5.57170456e+02
  2196  6.96658791e-17  3.97369947e+02
  2208  7.11316895e-17  4.10176158e+02
  2220  4.68297749e-17  2.72983318e+02
  2232  7.66359676e-17  4.51573100e+02
  2244  3.85082056e-17  2.29353295e+02
  2256  8.04201337e-17  4.84114342e+02
  2268  9.23978148e-17  5.62149399e+02
  2280  7.52316333e-17  4.62565382e+02
  2292  8.95469997e-17  5.56393710e+02
  2304  4.00770827e-17  2.51629763e+02
  2316  7.08591963e-17  4.49545149e+02
  2328  6.82447762e-17  4.37456005e+02
  2340  1.42887298e-16  9.25387012e+02
  2352  1.13361913e-16  7.41718167e+02
  2364  5.07441557e-17  3.35410885e+02
  2376  1.20376656e-16  8.03767420e+02
  2388  7.51763578e-17  5.07042377e+02
  2400  8.00619777e-17  5.45434017e+02
  2412  5.43159679e-17  3.73744364e+02
  2424  1.20337230e-16  8.36289939e+02
  2436  4.55378776e-17  3.19608340e+02
  2448  1.64907157e-17  1.16883231e+02
  2460  5.87497221e-17  4.20499072e+02
  2472  5.13265901e-17  3.70960356e+02
  2484  3.42134044e-17  2.49681739e+02
  2496  1.35107562e-17  9.95532138e+01
