# ell  C_l  D_l[muK^2]
   796  1.15677935e-15  8.67629720e+02
   804  1.19842097e-15  9.17009495e+02
   812  1.23514175e-15  9.63997442e+02
   820  1.26534102e-15  1.00711044e+03
   828  1.28773879e-15  1.04502132e+03
   836  1.30137793e-15  1.07658339e+03
   844  1.30561828e-15  1.10084933e+03
   852  1.30011320e-15  1.11707491e+03
   860  1.28481568e-15  1.12474724e+03
   868  1.26002281e-15  1.12364834e+03
   876  1.22629513e-15  1.11381024e+03
   884  1.18438457e-15  1.09547074e+03
   892  1.13523633e-15  1.06909205e+03
   900  1.07996362e-15  1.03535415e+03
   908  1.01984937e-15  9.95172278e+02
   916  9.56229682e-16  9.49597438e+02
   924  8.90473667e-16  8.99802695e+02
   932  8.23924036e-16  8.47026958e+02
   940  7.57890670e-16  7.92568016e+02
   948  6.93649998e-16  7.37780960e+02
   956  6.32378546e-16  6.84005292e+02
   964  5.75092278e-16  6.32491055e+02
   972  5.22654904e-16  5.84395199e+02
   980  4.75761360e-16  5.40750282e+02
   988  4.34952715e-16  5.02467281e+02
   996  4.00587556e-16  4.70288605e+02
  1004  3.72837354e-16  4.44766119e+02
  1012  3.51691044e-16  4.26249391e+02
  1020  3.36971465e-16  4.14888640e+02
  1028  3.28340411e-16  4.10624947e+02
  1036  3.25342417e-16  4.13229868e+02
  1044  3.27384428e-16  4.22267164e+02
  1052  3.33790485e-16  4.37150086e+02
  1060  3.43808185e-16  4.57140780e+02
  1068  3.56629617e-16  4.81369832e+02
  1076  3.71424186e-16  5.08874465e+02
  1084  3.87367622e-16  5.38635338e+02
  1092  4.03653895e-16  5.69592749e+02
  1100  4.19512893e-16  6.00672599e+02
  1108  4.34236734e-16  6.30827142e+02
  1116  4.47183845e-16  6.59046378e+02
  1124  4.57811302e-16  6.84412367e+02
  1132  4.65682462e-16  7.06120343e+02
  1140  4.70466716e-16  7.23488952e+02
  1148  4.71940924e-16  7.35973300e+02
  1156  4.69973849e-16  7.43151553e+02
  1164  4.64537591e-16  7.44753021e+02
  1172  4.55709867e-16  7.40673079e+02
  1180  4.43686631e-16  7.31005681e+02
  1188  4.28749681e-16  7.16002618e+02
  1196  4.11251489e-16  6.96057822e+02
  1204  3.91582511e-16  6.71659753e+02
  1212  3.70175580e-16  6.43403902e+02
  1220  3.47483196e-16  6.11958268e+02
  1228  3.23998334e-16  5.78103411e+02
  1236  3.00227890e-16  5.42689862e+02
  1244  2.76668727e-16  5.06596644e+02
  1252  2.53779515e-16  4.70678615e+02
