# ell  Dl_TT  Dl_EE  Dl_TE
    1204    8.037474e+02    4.530581e+01    7.659564e+01
    1212    6.904638e+02    2.910878e+01    4.292666e+01
    1220    7.580821e+02    3.186581e+01    3.548683e+01
    1228    7.456186e+02    3.273493e+01    3.124935e+01
    1236    5.486247e+02    3.580143e+01    4.437985e+01
    1244    7.267289e+02    3.901572e+01    9.592119e+01
    1252    5.939952e+02    3.815649e+01    3.031395e+01
    1260    6.866702e+02    5.776723e+01    5.197689e+01
    1268    4.650624e+02    4.088992e+01    2.798902e+00
    1276    5.021248e+02    4.355479e+01    4.017900e+01
    1284    5.675151e+02    2.783508e+01    2.380131e+01
    1292    5.770038e+02    3.480391e+01    1.291487e+01
    1300    5.264535e+02    4.731597e+01    2.340288e+01
    1308    4.401705e+02    3.924159e+01   -3.059788e+00
    1316    3.732616e+02    5.067261e+01   -4.389763e+00
    1324    5.473345e+02    2.572979e+01   -3.956540e+00
    1332    5.563144e+02    3.342760e+01   -2.676598e+01
    1340    5.601258e+02    3.054200e+01    1.942274e+01
    1348    4.662993e+02    3.148095e+01   -3.383025e+01
    1356    4.044673e+02    4.049805e+01   -3.059230e+01
    1364    5.735151e+02    2.032787e+01   -3.934174e+01
    1372    5.664303e+02    2.908532e+01   -2.557874e+01
    1380    4.523798e+02    2.308612e+01    1.138284e+00
    1388    6.122852e+02    2.737084e+01   -3.428490e+01
    1396    6.830841e+02    2.404986e+01   -3.372262e+01
    1404    7.006328e+02    1.833601e+01   -1.234133e+01
    1412    6.471697e+02    1.814223e+01   -2.857810e+01
    1420    4.821102e+02    1.693202e+01   -2.391914e+01
    1428    7.307770e+02    1.508157e+01   -1.712911e+01
    1436    7.138502e+02    1.626328e+01   -2.108509e+01
    1444    5.512261e+02    2.069113e+01    7.593697e+00
    1452    6.727620e+02    2.007412e+01    3.985209e+00
    1460    6.105697e+02    2.292328e+01    3.136592e+00
    1468    7.684777e+02    2.492198e+01    3.926825e+01
    1476    7.112934e+02    2.067481e+01    2.090940e+01
    1484    5.230943e+02    1.856932e+01    9.913991e+00
    1492    7.983513e+02    2.102388e+01    5.943602e+01
    1500    6.478852e+02    1.966241e+01    4.314281e+01
    1512    6.722178e+02    3.336531e+01    5.395581e+01
    1524    5.769561e+02    2.223034e+01    3.869868e+01
    1536    6.443369e+02    3.748204e+01    7.170554e+01
    1548    4.454458e+02    2.401574e+01    3.528114e+01
    1560    5.566147e+02    3.636496e+01    6.460535e+01
    1572    3.755978e+02    2.291756e+01    1.617097e+01
    1584    4.021338e+02    3.546641e+01    6.413263e+01
    1596    3.590976e+02    1.919597e+01    2.697770e+00
    1608    3.230005e+02    3.467778e+01    3.600129e+01
    1620    3.140354e+02    1.957079e+01    1.373399e+00
    1632    3.221167e+02    3.070609e+01    2.040336e+01
    1644    3.139103e+02    1.899280e+01    3.210560e-01
    1656    2.978763e+02    3.147896e+01    4.125155e+00
    1668    2.434947e+02    2.289644e+01    4.161218e+00
    1680    2.983739e+02    2.825821e+01   -1.164065e-01
    1692    2.459021e+02    1.877539e+01   -1.489363e+01
    1704    3.187887e+02    2.259276e+01   -1.265697e+01
    1716    2.781074e+02    1.506357e+01   -1.327578e+01
    1728    2.759378e+02    2.253981e+01   -9.098525e+00
    1740    3.109183e+02    1.696196e+01    1.412959e+00
    1752    3.194479e+02    1.575577e+01   -2.390130e+01
    1764    3.453055e+02    1.409989e+01    1.275337e+01
    1776    4.824584e+02    1.038414e+01    2.164619e+00
    1788    3.066747e+02    1.518131e+01    8.186925e+00
    1800    4.754039e+02    1.783992e+01    2.480328e+01
    1812    3.172394e+02    1.193092e+01    1.639311e+01
    1824    3.250646e+02    1.945022e+01    2.719276e+01
    1836    2.209688e+02    2.049630e+01    1.612534e+01
    1848    2.729932e+02    1.650636e+01    1.752487e+01
    1860    2.169186e+02    1.413861e+01    3.092818e+00
    1872    2.193862e+02    2.147639e+01    8.536480e+00
    1884    2.714716e+02    1.704295e+01    2.375518e+01
    1896    2.026712e+02    2.083701e+01    1.682138e+01
    1908    2.142150e+02    3.370249e+01    1.828520e+01
    1920    1.598722e+02    2.656094e+01   -3.351421e+00
    1932    1.273420e+02    3.968203e+01    1.657304e+00
    1944    2.420150e+02    1.446182e+01   -1.848550e+01
    1956    2.089934e+02    3.113386e+01   -2.146471e+01
    1968    1.721785e+02    1.501690e+01   -4.324453e+00
    1980    1.804910e+02    2.370774e+01   -1.256412e+01
    1992    1.734195e+02    2.516941e+01   -1.600552e+01
    2004    2.743323e+02    1.364509e+01   -1.979636e+01
    2016    2.596510e+02    2.392774e+01   -3.189378e+01
    2028    1.504570e+02    8.684344e+00   -3.293267e+00
    2040    1.951619e+02    1.791362e+01   -2.134959e+01
    2052    1.735533e+02    1.272165e+01   -1.076791e+01
    2064    2.733462e+02    1.053489e+01   -2.318489e+00
    2076    3.031053e+02    9.285973e+00   -1.564267e+01
    2088    1.847819e+02    6.226589e+00    6.555501e+00
    2100    2.275227e+02    6.756008e+00   -1.093639e+01
    2112    1.491228e+02    1.002638e+01    5.094781e+00
    2124    2.083339e+02    1.326471e+01    1.264620e+01
    2136    2.051726e+02    1.646648e+01    2.682987e+01
    2148    1.420102e+02    9.924483e+00    5.626249e+00
    2160    2.061479e+02    1.181898e+01    2.807507e+01
    2172    1.825100e+02    1.056127e+01    1.935969e+01
    2184    1.257699e+02    1.819346e+01    1.417833e+01
    2196    1.810903e+02    2.058839e+01    1.573064e+01
    2208    1.290889e+02    9.346017e+00   -6.257811e+00
    2220    1.249813e+02    2.518812e+01    1.679972e+01
    2232    1.318867e+02    2.594503e+01    4.421726e+00
    2244    8.731058e+01    1.429569e+01   -8.165938e+00
    2256    1.127910e+02    2.436005e+01    6.601692e+00
    2268    8.379791e+01    1.559449e+01    2.850715e+00
    2280    1.000171e+02    1.713872e+01   -1.086239e+01
    2292    9.764412e+01    1.971309e+01   -4.635505e+00
    2304    7.539348e+01    8.293448e+00    7.545389e-01
    2316    1.274285e+02    1.446701e+01   -1.084703e+01
    2328    1.277204e+02    1.203323e+01   -1.059768e+01
    2340    9.135207e+01    6.432156e+00    2.140127e+00
    2352    1.359726e+02    9.284572e+00   -8.969528e+00
    2364    1.262220e+02    7.260256e+00   -3.079114e+00
    2376    1.048674e+02    6.643106e+00    7.717488e+00
    2388    1.353207e+02    5.376119e+00   -2.007859e+00
    2400    1.144492e+02    5.531953e+00    1.279682e+00
    2412    9.595134e+01    8.623077e+00    7.269604e+00
    2424    1.143205e+02    5.685270e+00    7.139055e+00
    2436    1.108182e+02    5.741377e+00    5.183631e+00
    2448    9.738429e+01    1.090044e+01    1.080696e+01
    2460    1.016734e+02    8.194817e+00    1.468586e+01
    2472    1.139459e+02    5.811739e+00    8.235074e+00
    2484    6.705368e+01    1.503762e+01    1.043148e+01
    2496    6.277323e+01    1.357494e+01    1.099802e+01
