# ell  Dl_LCDM  Dl_Khr_DBI  Dl_Khr_full  res_pureDBI  res_full
   656  1.12391585e+03  1.12391865e+03  1.08018716e+03  2.49609769e-06  -3.89074427e-02
   662  7.17927901e+02  7.17930484e+02  7.77212014e+02  3.59675921e-06  8.25766938e-02
   668  9.16375340e+02  9.16377858e+02  9.94695898e+02  2.74703708e-06  8.54677710e-02
   674  8.13507396e+02  8.13509048e+02  7.77596919e+02  2.03012595e-06  -4.41427786e-02
   680  7.61249608e+02  7.61251810e+02  7.38988294e+02  2.89357911e-06  -2.92431197e-02
   686  5.94208705e+02  5.94209589e+02  6.32089863e+02  1.48920993e-06  6.37505951e-02
   692  7.02975972e+02  7.02977953e+02  7.74742795e+02  2.81796509e-06  1.02090008e-01
   698  7.47770350e+02  7.47772610e+02  6.51766995e+02  3.02196133e-06  -1.28386149e-01
   704  5.96304211e+02  5.96305640e+02  5.64398084e+02  2.39631859e-06  -5.35064601e-02
   710  5.01780299e+02  5.01781816e+02  5.51084129e+02  3.02237540e-06  9.82578021e-02
   716  5.39231548e+02  5.39232833e+02  6.19548650e+02  2.38347006e-06  1.48947334e-01
   722  6.87347901e+02  6.87349011e+02  6.62916065e+02  1.61610892e-06  -3.55450798e-02
   728  5.84595566e+02  5.84596829e+02  5.35613494e+02  2.15913507e-06  -8.37879638e-02
   734  5.34765152e+02  5.34765996e+02  4.63710090e+02  1.57853107e-06  -1.32871527e-01
   740  5.80911220e+02  5.80912387e+02  5.89938590e+02  2.00868532e-06  1.55400167e-02
   746  6.53706195e+02  6.53707591e+02  7.83515270e+02  2.13417312e-06  1.98574031e-01
   752  6.56408365e+02  6.56409924e+02  7.06085765e+02  2.37565960e-06  7.56806319e-02
   758  6.69622046e+02  6.69623846e+02  6.36761213e+02  2.68871065e-06  -4.90737015e-02
   764  5.63250716e+02  5.63252252e+02  5.27997301e+02  2.72769091e-06  -6.25892060e-02
   770  6.48729744e+02  6.48731453e+02  5.84841877e+02  2.63470472e-06  -9.84814822e-02
   776  8.24566667e+02  8.24568855e+02  8.38967906e+02  2.65446977e-06  1.74652212e-02
   782  7.26744971e+02  7.26747117e+02  8.86542517e+02  2.95302642e-06  2.19881187e-01
   788  8.41027458e+02  8.41029715e+02  8.93238202e+02  2.68357579e-06  6.20797139e-02
   794  7.19566693e+02  7.19568905e+02  7.19798761e+02  3.07466236e-06  3.22510119e-04
