# ell  D_l_CLASS[muK2]  D_l_mlx[muK2]  residual_pct
   328  3.157895e+03  5.817809e+03  +84.2306
   329  3.125832e+03  5.786960e+03  +85.1334
   330  3.093966e+03  5.757524e+03  +86.0888
   331  3.062305e+03  5.730026e+03  +87.1148
   332  3.030856e+03  5.704990e+03  +88.2303
   333  2.999630e+03  5.682745e+03  +89.4482
   334  2.968634e+03  5.662834e+03  +90.7555
   335  2.937877e+03  5.644604e+03  +92.1321
   336  2.907367e+03  5.627401e+03  +93.5566
   337  2.877113e+03  5.610473e+03  +95.0036
   338  2.847124e+03  5.592673e+03  +96.4324
   339  2.817408e+03  5.572754e+03  +97.7972
   340  2.787974e+03  5.549470e+03  +99.0503
   341  2.758831e+03  5.521817e+03  +100.1506
   342  2.729986e+03  5.489763e+03  +101.0912
   343  2.701450e+03  5.453520e+03  +101.8738
   344  2.673230e+03  5.413301e+03  +102.5004
   345  2.645335e+03  5.369508e+03  +102.9802
   346  2.617775e+03  5.323320e+03  +103.3529
   347  2.590557e+03  5.276108e+03  +103.6669
   348  2.563691e+03  5.229241e+03  +103.9731
   349  2.537185e+03  5.183994e+03  +104.3207
   350  2.511043e+03  5.141260e+03  +104.7460
   351  2.485270e+03  5.101839e+03  +105.2831
   352  2.459870e+03  5.066527e+03  +105.9673
   353  2.434846e+03  5.035821e+03  +106.8229
   354  2.410204e+03  5.009009e+03  +107.8251
   355  2.385945e+03  4.985080e+03  +108.9352
   356  2.362075e+03  4.963019e+03  +110.1127
   357  2.338596e+03  4.941710e+03  +111.3109
   358  2.315513e+03  4.919609e+03  +112.4630
   359  2.292828e+03  4.895069e+03  +113.4948
   360  2.270545e+03  4.866444e+03  +114.3293
   361  2.248667e+03  4.832460e+03  +114.9033
   362  2.227198e+03  4.793338e+03  +115.2183
   363  2.206139e+03  4.749675e+03  +115.2935
   364  2.185494e+03  4.702066e+03  +115.1489
   365  2.165266e+03  4.651350e+03  +114.8166
   366  2.145457e+03  4.599325e+03  +114.3751
   367  2.126070e+03  4.548033e+03  +113.9173
   368  2.107107e+03  4.499514e+03  +113.5399
   369  2.088571e+03  4.455491e+03  +113.3272
   370  2.070464e+03  4.416412e+03  +113.3054
   371  2.052787e+03  4.382408e+03  +113.4857
   372  2.035544e+03  4.353608e+03  +113.8794
   373  2.018735e+03  4.329739e+03  +114.4778
   374  2.002362e+03  4.308907e+03  +115.1912
   375  1.986428e+03  4.288818e+03  +115.9061
   376  1.970933e+03  4.267175e+03  +116.5053
   377  1.955879e+03  4.241919e+03  +116.8804
   378  1.941267e+03  4.211941e+03  +116.9687
   379  1.927098e+03  4.176372e+03  +116.7182
   380  1.913373e+03  4.134341e+03  +116.0760
   381  1.900094e+03  4.085638e+03  +115.0230
   382  1.887260e+03  4.032702e+03  +113.6803
   383  1.874873e+03  3.978634e+03  +112.2082
   384  1.862933e+03  3.926533e+03  +110.7716
   385  1.851439e+03  3.879099e+03  +109.5180
   386  1.840394e+03  3.837423e+03  +108.5110
   387  1.829796e+03  3.802198e+03  +107.7936
   388  1.819645e+03  3.774115e+03  +107.4094
   389  1.809941e+03  3.753199e+03  +107.3658
   390  1.800682e+03  3.736810e+03  +107.5220
   391  1.791867e+03  3.721646e+03  +107.6965
   392  1.783495e+03  3.704399e+03  +107.7045
   393  1.775564e+03  3.682253e+03  +107.3850
   394  1.768072e+03  3.654334e+03  +106.6847
   395  1.761017e+03  3.620258e+03  +105.5776
