# ell  C_l^EE  D_l^EE[muK^2]
   940  7.86661816e-20  8.22655588e-02
   948  9.55513226e-20  1.01630429e-01
   956  1.24766767e-19  1.34952600e-01
   964  1.20529185e-19  1.32558955e-01
   972  1.44478028e-19  1.61544961e-01
   980  1.87693123e-19  2.13331972e-01
   988  1.39641115e-19  1.61316596e-01
   996  1.72286910e-19  2.02264322e-01
  1004  9.09199060e-20  1.08460414e-01
  1012  1.69949957e-19  2.05979273e-01
  1020  1.08320490e-19  1.33367201e-01
  1028  1.83353940e-19  2.29303794e-01
  1036  1.66598104e-19  2.11602635e-01
  1044  1.40931414e-19  1.81776234e-01
  1052  1.60118359e-19  2.09699670e-01
  1060  7.20489177e-20  9.57990527e-02
  1068  1.65597177e-19  2.23518972e-01
  1076  1.01717237e-19  1.39359004e-01
  1084  1.29175575e-19  1.79618856e-01
  1092  9.99192433e-20  1.40995237e-01
  1100  7.33507772e-20  1.05026097e-01
  1108  1.08180193e-19  1.57156215e-01
  1116  6.88099304e-20  1.01410049e-01
  1124  6.95537532e-20  1.03980502e-01
  1132  6.94971237e-20  1.05379388e-01
  1140  4.46468603e-20  6.86584387e-02
  1148  5.62980676e-20  8.77946212e-02
  1156  5.89136773e-20  9.31579298e-02
  1164  4.58266267e-20  7.34698748e-02
  1172  6.13032664e-20  9.96372526e-02
  1180  5.60210784e-20  9.22987616e-02
  1188  4.51924021e-20  7.54703259e-02
  1196  5.20815693e-20  8.81499147e-02
  1204  3.75741236e-20  6.44488092e-02
  1212  4.87802237e-20  8.47851343e-02
  1220  5.82122475e-20  1.02518529e-01
  1228  4.01294331e-20  7.16021031e-02
  1236  5.37051504e-20  9.70770593e-02
  1244  6.56623854e-20  1.20231674e-01
  1252  6.33630754e-20  1.17517935e-01
  1260  6.31802491e-20  1.18680528e-01
  1268  8.06973624e-20  1.53515673e-01
  1276  9.82639774e-20  1.89299041e-01
  1284  5.75459406e-20  1.12252326e-01
  1292  8.45512874e-20  1.66991270e-01
  1300  1.25198374e-19  2.50340919e-01
  1308  6.03144818e-20  1.22090394e-01
  1316  8.24385130e-20  1.68921262e-01
  1324  1.35365561e-19  2.80753097e-01
  1332  6.06552932e-20  1.27325557e-01
  1340  8.34081496e-20  1.77196267e-01
  1348  1.26299002e-19  2.71527779e-01
  1356  6.25680772e-20  1.36114644e-01
  1364  7.44654677e-20  1.63913396e-01
  1372  1.12845982e-19  2.51317803e-01
  1380  5.50976153e-20  1.24141810e-01
  1388  6.40419709e-20  1.45971780e-01
  1396  7.74293786e-20  1.78525436e-01
  1404  6.31256745e-20  1.47218358e-01
  1412  3.99689730e-20  9.42784323e-02
  1420  5.45926603e-20  1.30235441e-01
  1428  4.92419875e-20  1.18797832e-01
  1436  2.40048622e-20  5.85629478e-02
  1444  4.71577897e-20  1.16332480e-01
  1452  3.97545329e-20  9.91588291e-02
  1460  3.06651557e-20  7.73322684e-02
  1468  3.20971410e-20  8.18326671e-02
  1476  2.47334499e-20  6.37476318e-02
  1484  2.98442241e-20  7.77558641e-02
  1492  3.43817589e-20  9.05459910e-02
  1500  3.45262344e-20  9.19038427e-02
  1512  2.89029960e-20  7.81710753e-02
  1524  3.43036938e-20  9.42558256e-02
  1536  3.79598515e-20  1.05950276e-01
