# ell  Dl_TT  Dl_EE  Dl_TE
     564    1.503706e+03    6.687207e+00    2.277407e+01
     572    1.377796e+03    8.455073e+00    6.113502e+00
     580    1.483515e+03    7.866371e+00    5.321588e+00
     588    1.387593e+03    8.579439e+00    1.898310e+01
     596    1.412414e+03    9.700407e+00    1.082655e+01
     604    1.700087e+03    9.717863e+00    2.572364e+01
     612    1.380406e+03    1.349556e+01    3.957761e+01
     620    1.593619e+03    1.609779e+01    2.661839e+01
     628    1.172429e+03    1.965283e+01    3.318698e+01
     636    1.312017e+03    2.048113e+01   -1.177331e+01
     644    1.222361e+03    1.833593e+01   -9.417665e+00
     652    1.331595e+03    1.645255e+01   -2.191444e+01
     660    1.294969e+03    1.680549e+01    6.181991e+00
     668    1.265297e+03    2.182225e+01   -1.534134e+01
     676    1.054816e+03    2.446564e+01   -2.358033e+01
     684    1.419035e+03    2.216230e+01   -6.894992e+01
     692    1.201900e+03    1.787831e+01   -4.208579e+01
     700    1.374140e+03    1.692629e+01   -3.018370e+01
     708    1.098023e+03    2.247433e+01   -5.581547e+01
     716    1.370106e+03    2.151611e+01   -8.062376e+01
     724    1.489901e+03    1.627481e+01   -8.222544e+01
     732    1.096450e+03    1.491110e+01   -4.803101e+01
     740    1.442434e+03    1.696121e+01   -7.542450e+01
     748    1.704958e+03    1.607275e+01   -1.110475e+02
     756    1.521925e+03    1.141427e+01   -5.824480e+01
     764    1.422511e+03    1.169084e+01   -4.989907e+01
     772    1.684700e+03    1.284291e+01   -9.338310e+01
     780    1.829270e+03    9.498864e+00   -7.341423e+01
     788    1.601594e+03    7.703880e+00   -3.685233e+01
     796    1.908681e+03    8.269790e+00   -6.620279e+01
     804    1.960314e+03    7.711711e+00   -5.474778e+01
     812    1.484126e+03    7.457988e+00   -2.317741e+01
     820    1.871346e+03    6.059077e+00   -3.469391e+01
     828    2.130031e+03    5.107249e+00   -1.161469e+01
     836    1.419138e+03    7.284000e+00   -1.282162e+01
     844    1.757321e+03    6.644176e+00   -1.804761e+01
     852    1.989033e+03    7.032042e+00    3.882732e+01
     860    1.419449e+03    8.224860e+00    1.600517e+01
     868    1.955169e+03    6.310751e+00    9.540391e+00
     876    1.573292e+03    9.135635e+00    4.478459e+01
     884    1.247140e+03    1.078889e+01    1.047234e+01
     892    1.792749e+03    1.256239e+01    6.276983e+01
     900    1.243056e+03    1.399464e+01    5.258962e+01
     908    1.459536e+03    1.191707e+01    3.965770e+01
     916    1.374713e+03    1.467880e+01    7.382112e+01
     924    1.030993e+03    1.248817e+01    1.291064e+01
     932    1.431422e+03    1.765142e+01    5.313297e+01
     940    8.288024e+02    1.895867e+01    2.181350e+01
     948    1.144494e+03    1.921252e+01    3.445102e+01
     956    8.049047e+02    2.459868e+01    4.592010e+01
     964    9.606100e+02    1.805503e+01    1.940447e+01
     972    8.368818e+02    2.580715e+01    5.356322e+01
     980    8.235672e+02    1.750187e+01    6.597575e+00
     988    7.214926e+02    2.373036e+01    3.856334e+01
     996    7.797951e+02    1.815209e+01   -8.110091e+00
    1004    6.544616e+02    1.966068e+01    1.518903e+01
    1012    8.082027e+02    1.883192e+01   -1.402172e+01
    1020    6.967286e+02    1.645140e+01   -7.148431e-01
    1028    7.315416e+02    2.106264e+01   -2.260802e+01
    1036    7.166948e+02    1.528713e+01   -2.248824e+01
    1044    8.220000e+02    2.077430e+01   -4.325348e+01
    1052    8.024084e+02    1.203483e+01   -2.977066e+01
    1060    7.393992e+02    1.882526e+01   -4.318036e+01
    1068    8.648707e+02    1.155883e+01   -2.852945e+01
    1076    8.518540e+02    1.722219e+01   -6.447894e+01
    1084    8.377522e+02    9.492075e+00   -2.403832e+01
    1092    8.831701e+02    1.332950e+01   -4.864843e+01
    1100    7.105626e+02    9.476938e+00   -2.870337e+01
    1108    9.900715e+02    1.242815e+01   -4.738158e+01
    1116    7.453777e+02    6.513935e+00   -2.413084e+01
    1124    8.172729e+02    1.145223e+01   -3.873724e+01
