# ell  Dl_TT  Dl_EE  Dl_TE
    1212    7.266162e+02    1.268191e+01    2.970001e+01
    1220    8.137518e+02    1.389989e+01    2.600129e+01
    1228    7.839251e+02    1.409117e+01    2.191307e+01
    1236    5.723309e+02    1.553941e+01    3.167297e+01
    1244    7.698203e+02    1.687341e+01    6.643955e+01
    1252    6.246970e+02    1.624493e+01    1.983730e+01
    1260    7.249532e+02    2.424759e+01    3.447948e+01
    1268    4.793325e+02    1.708827e+01    3.676944e-01
    1276    5.319900e+02    1.778067e+01    2.810685e+01
    1284    6.131528e+02    1.161551e+01    1.756850e+01
    1292    6.062204e+02    1.430655e+01    1.018877e+01
    1300    5.593542e+02    1.980731e+01    1.601436e+01
    1308    4.667803e+02    1.619372e+01   -2.651900e+00
    1316    3.974856e+02    2.025201e+01   -2.525346e+00
    1324    6.106664e+02    1.045195e+01   -3.497579e-01
    1332    5.814123e+02    1.309582e+01   -1.461652e+01
    1340    6.030186e+02    1.284387e+01    1.541673e+01
    1348    5.010043e+02    1.268689e+01   -2.102289e+01
    1356    4.322257e+02    1.606098e+01   -1.883128e+01
    1364    6.229762e+02    8.255537e+00   -2.250607e+01
    1372    6.008953e+02    1.133786e+01   -1.221103e+01
    1380    5.091353e+02    9.934629e+00    3.672290e+00
    1388    6.554277e+02    1.116926e+01   -1.701126e+01
    1396    7.519637e+02    9.562182e+00   -1.866354e+01
    1404    7.722238e+02    7.993196e+00   -2.541849e+00
    1412    6.942028e+02    7.150813e+00   -1.386336e+01
    1420    5.219644e+02    7.300068e+00   -1.415659e+01
    1428    8.063461e+02    6.299284e+00   -4.634608e+00
    1436    7.688270e+02    6.788561e+00   -9.510758e+00
    1444    5.897275e+02    9.281596e+00    9.834006e+00
    1452    7.334630e+02    8.752314e+00    9.356355e+00
    1460    6.615068e+02    1.019850e+01    5.580765e+00
    1468    8.418023e+02    1.140550e+01    3.334521e+01
    1476    7.815226e+02    9.391672e+00    1.833367e+01
    1484    5.693230e+02    8.409464e+00    8.880977e+00
    1492    8.835553e+02    9.801873e+00    4.708847e+01
    1500    7.185612e+02    8.953362e+00    3.198997e+01
    1512    7.327002e+02    1.507351e+01    4.078688e+01
    1524    6.369785e+02    9.993515e+00    2.799778e+01
    1536    7.046481e+02    1.686958e+01    5.213434e+01
    1548    4.873292e+02    1.074063e+01    2.531088e+01
    1560    6.077420e+02    1.612608e+01    4.582431e+01
    1572    4.178543e+02    1.018748e+01    1.185511e+01
    1584    4.383072e+02    1.536320e+01    4.515129e+01
    1596    3.992032e+02    8.235918e+00    1.766264e+00
    1608    3.609452e+02    1.471185e+01    2.521477e+01
    1620    3.457475e+02    8.064884e+00    1.235976e+00
    1632    3.490733e+02    1.268603e+01    1.472319e+01
    1644    3.657493e+02    7.673907e+00    1.381655e+00
    1656    3.208552e+02    1.309508e+01    3.691205e+00
    1668    2.742245e+02    9.448618e+00    4.830213e+00
    1680    3.277140e+02    1.184318e+01    1.301503e+00
    1692    2.912286e+02    7.647352e+00   -8.773323e+00
    1704    3.571090e+02    9.390998e+00   -7.360537e+00
    1716    3.230516e+02    6.091801e+00   -6.991176e+00
    1728    3.055633e+02    9.542958e+00   -4.734944e+00
    1740    3.589857e+02    7.464574e+00    3.530375e+00
    1752    3.676215e+02    6.658309e+00   -1.455369e+01
    1764    4.002344e+02    6.523112e+00    1.222123e+01
    1776    5.541365e+02    4.627192e+00    5.369087e+00
    1788    3.580133e+02    7.032315e+00    8.133875e+00
    1800    5.626762e+02    8.347650e+00    2.153324e+01
    1812    3.567592e+02    5.664103e+00    1.335404e+01
    1824    3.787408e+02    9.005576e+00    2.215185e+01
    1836    2.483945e+02    9.321517e+00    1.224754e+01
    1848    3.097064e+02    7.513179e+00    1.406031e+01
    1860    2.501252e+02    6.453430e+00    3.166473e+00
    1872    2.465129e+02    9.486355e+00    6.460080e+00
