channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Amplitude Damping,Singh,0.2,0.0,0.4185300880323094,0.41853008803230923,1.6653345369377348e-16,0.9999999999999998,0.9999999999999999,2.220446049250313e-16,1.1102230246251565e-16,-1.1102230246251565e-16,True
Amplitude Damping,Singh,0.2,0.05,0.4185300880323094,0.3973473772475833,0.02118271078472611,0.9897891174589326,0.9894645355179615,0.01021088254106739,0.010535464482038459,0.0003245819409710693,True
Amplitude Damping,Singh,0.2,0.1,0.4185300880323094,0.3776781917341718,0.040851896298137624,0.9795825461689218,0.9797812484031343,0.02041745383107818,0.020218751596865703,-0.0001987022342124778,False
Amplitude Damping,Singh,0.2,0.15,0.4185300880323094,0.35857843953686697,0.05995164849544243,0.9693644759816235,0.9704689950829263,0.030635524018376548,0.029531004917073722,-0.0011045191013028255,False
Amplitude Damping,Singh,0.2,0.2,0.4185300880323094,0.33981251901804593,0.07871756901426347,0.9591175067593181,0.9614057097861156,0.04088249324068194,0.038594290213884386,-0.002288203026797553,False
Amplitude Damping,Singh,0.2,0.25,0.4185300880323094,0.32125033383089113,0.09727975420141827,0.9488222703414373,0.9525240936784668,0.05117772965856271,0.0474759063215332,-0.0037018233370295084,False
Amplitude Damping,Singh,0.2,0.3,0.4185300880323094,0.30280102562119343,0.11572906241111597,0.9384568549684936,0.943777791216779,0.061543145031506374,0.05622220878322104,-0.005320936248285335,False
Amplitude Damping,Singh,0.2,0.35,0.4185300880323094,0.28439169779330514,0.13413839023900426,0.9279961563674953,0.9351304926318513,0.07200384363250467,0.06486950736814867,-0.0071343362643560004,False
Amplitude Damping,Singh,0.2,0.4,0.4185300880323094,0.26595783701970055,0.15257225101260885,0.9174109031350238,0.9265510587376156,0.08258909686497617,0.07344894126238444,-0.009140155602591737,False
Amplitude Damping,Singh,0.2,0.45,0.4185300880323094,0.247437831084885,0.1710922569474244,0.9066663516548779,0.9180107956406014,0.09333364834512214,0.0819892043593986,-0.01134444398572354,False
Amplitude Damping,Singh,0.2,0.5,0.4185300880323094,0.22876903295294893,0.18976105507936047,0.8957203906877411,0.909481585980363,0.10427960931225888,0.090518414019637,-0.013761195292621875,False
Amplitude Damping,Singh,0.2,0.55,0.4185300880323094,0.2098842114430578,0.2086458765892516,0.8845208600110326,0.9009343042495302,0.11547913998896742,0.09906569575046975,-0.016413444238497665,False
Amplitude Damping,Singh,0.2,0.6,0.4185300880323094,0.1907076181941637,0.2278224698381457,0.873001347976797,0.8923371607473313,0.12699865202320304,0.10766283925266873,-0.01933581277053431,False
Amplitude Damping,Singh,0.2,0.65,0.4185300880323094,0.17114986247801017,0.24738022555429923,0.8610746613886948,0.8836536314282689,0.13892533861130518,0.11634636857173108,-0.022578970039574098,False
Amplitude Damping,Singh,0.2,0.7,0.4185300880323094,0.15110036855935677,0.26742971947295263,0.8486216772253818,0.8748394810024692,0.15137832277461816,0.12516051899753078,-0.02621780377708738,False
Amplitude Damping,Singh,0.2,0.75,0.4185300880323094,0.13041510135387718,0.2881149866784322,0.8354715715973101,0.8658379667122444,0.16452842840268989,0.13416203328775556,-0.03036639511493433,False
Amplitude Damping,Singh,0.2,0.8,0.4185300880323094,0.10889447440650535,0.30963561362580405,0.82136252240645,0.8565712247092174,0.17863747759354998,0.14342877529078257,-0.0352087023027674,False
Amplitude Damping,Singh,0.2,0.85,0.4185300880323094,0.08623839360554554,0.3322916944267639,0.8058537110700709,0.8469227038650332,0.19414628892992913,0.1530772961349668,-0.041068992794962345,False
Amplitude Damping,Singh,0.2,0.9,0.4185300880323094,0.061937107182108576,0.3565929808502008,0.7880840504929331,0.8366943148565777,0.21191594950706694,0.16330568514342225,-0.048610264363644684,False
Amplitude Damping,Singh,0.2,0.95,0.4185300880323094,0.03491044966216599,0.3836196383701434,0.7658234296399711,0.8254638409506,0.23417657036002892,0.1745361590494,-0.059640411310628916,False
Amplitude Damping,Singh,0.2,1.0,0.4185300880323094,0.0,0.4185300880323094,0.7154350437260985,0.8111802086885304,0.28456495627390155,0.18881979131146964,-0.0957451649624319,False
Amplitude Damping,|0>,0.5,0.0,0.6931471805599453,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,True
Amplitude Damping,|0>,0.5,0.05,0.6931471805599453,0.6443570163905132,0.04879016416943205,0.9523809523809524,0.9759000729485332,0.04761904761904756,0.024099927051466796,-0.023519120567580765,False
