channel,p,state,D_before,D_after,Delta_D,exp_bound,F_J_petz,f_petz,F_J_identity,f_identity,tau,tau_bound,tau_identity,bound_holds,gap_FJ,gap_tau
Dephasing,0.03,random_pure_5,0.6931471805589435,0.0005938197784097089,0.6925533607805339,0.5002969980626404,0.500593702228457,0.7075264675109031,0.5151395204821226,0.7177322066635456,0.2924735324890969,0.2926832406462856,0.28226779333645435,True,0.0002967041658166192,0.00020970815718868163
Dephasing,0.03,random_pure_6,0.6931471805589442,0.3990509930102435,0.2940961875487007,0.7452048085720275,0.8421526917589277,0.9176887771782587,0.8467501834643516,0.9201902974191543,0.0823112228217413,0.13674754065104022,0.07980970258084574,True,0.09694788318690017,0.05443631782929892
Dephasing,0.03,random_pure_7,0.6931471805589446,0.23673889229382436,0.45640828826512025,0.6335551111675657,0.7173652923051449,0.8469741981342436,0.7255973676018693,0.8518200324023082,0.15302580186575643,0.20403824767293888,0.1481799675976918,True,0.08381018113757921,0.05101244580718245
Dephasing,0.03,random_pure_8,0.6931471805589458,0.18493735599307837,0.5082098245658674,0.6015715340327176,0.673219454033516,0.8204995149502016,0.6827373340131221,0.8262792106867521,0.17950048504979843,0.22438957328261921,0.17372078931324786,True,0.07164792000079845,0.044889088232820784
Dephasing,0.03,random_pure_9,0.6931471805589453,0.06829602938766852,0.6248511511712768,0.5353411074855994,0.5667264813213413,0.7528123812221351,0.5793460983702343,0.761147882063817,0.24718761877786488,0.2683299189623787,0.238852117936183,True,0.031385373835741914,0.021142300184513796
Dephasing,0.03,random_mixed_0,0.08698988847248912,0.001995926727761478,0.08499396174472765,0.9185178306298462,0.9569491615677953,0.9782377837559717,0.9593164967138992,0.9794470361963934,0.0217622162440283,0.04160664097154443,0.020552963803606605,True,0.03843133093794915,0.01984442472751613
Dephasing,0.03,random_mixed_1,0.07622498786895196,0.022183444226712104,0.054041543642239856,0.9473927475388823,0.9731420162578317,0.9864796076239142,0.9746416335839341,0.9872394003401272,0.013520392376085821,0.02665897675127127,0.012760599659872751,True,0.025749268718949447,0.013138584375185447
Dephasing,0.03,random_mixed_2,0.012797230572006693,0.00041290133260980626,0.012384329239396887,0.9876920409762336,0.9938021146541205,0.9968962406660588,0.9941557527610854,0.9970735944558382,0.0031037593339412473,0.00617303267810565,0.002926405544161792,True,0.006110073677886851,0.0030692733441644027
Dephasing,0.03,random_mixed_3,0.2561448045271393,0.1522055797574099,0.10393922476972939,0.9012800712606107,0.952293526826177,0.9758552796527654,0.9548532269833278,0.9771659157908281,0.024144720347234583,0.05064228487855493,0.02283408420917188,True,0.051013455565566246,0.02649756453132035
Dephasing,0.04,|0>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.04,|1>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.04,|+>,0.6931471805589462,0.0008002134699840193,0.6923469670889622,0.5004002668636007,0.5007999999999998,0.7076722405181651,0.5199999999999998,0.7211102550927977,0.29232775948183487,0.29261024402130287,0.2788897449072023,True,0.00039973313639907193,0.00028248453946799756
Dephasing,0.04,|->,0.6931471805589453,0.0008002134699836832,0.6923469670889616,0.5004002668636011,0.5007999999999998,0.7076722405181651,0.5199999999999998,0.7211102550927977,0.29232775948183487,0.29261024402130265,0.2788897449072023,True,0.00039973313639873886,0.0002824845394677755
Dephasing,0.04,|i+>,0.6931471805589453,0.0008002134699836832,0.6923469670889616,0.5004002668636011,0.5007999999999998,0.7076722405181651,0.5199999999999998,0.7211102550927977,0.29232775948183487,0.29261024402130265,0.2788897449072023,True,0.00039973313639873886,0.0002824845394677755
Dephasing,0.04,|i->,0.6931471805589453,0.0008002134699836832,0.6923469670889616,0.5004002668636011,0.5007999999999998,0.7076722405181651,0.5199999999999998,0.7211102550927977,0.29232775948183487,0.29261024402130265,0.2788897449072023,True,0.00039973313639873886,0.0002824845394677755
