channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Phase Damping,|0>,0.2,0.75,0.9162907318741548,0.7045256741212533,0.21176505775290144,0.9045773899393389,0.8995303107059138,0.0954226100606611,0.10046968929408617,0.005047079233425067,True
Phase Damping,|0>,0.2,0.8,0.9162907318741548,0.700399523661386,0.21589120821276875,0.9029114820126903,0.8976764250137019,0.09708851798730966,0.10232357498629807,0.005235056998988408,True
Phase Damping,|0>,0.2,0.85,0.9162907318741548,0.6972136721750396,0.21907705969911517,0.9016299084044065,0.896247631410434,0.09837009159559351,0.10375236858956605,0.0053822769939725346,True
Phase Damping,|0>,0.2,0.9,0.9162907318741548,0.694950428357001,0.22134030351715372,0.9007219498504303,0.8952339915915063,0.0992780501495697,0.1047660084084937,0.005487958258924008,True
Phase Damping,|0>,0.2,0.95,0.9162907318741548,0.6935973831815273,0.22269334869262747,0.9001801215911968,0.8946285503952989,0.09981987840880324,0.10537144960470113,0.005551571195897886,True
Phase Damping,|0>,0.2,1.0,0.9162907318741548,0.6931471805599453,0.2231435513142095,0.9000000000000001,0.894427190999916,0.09999999999999987,0.10557280900008403,0.005572809000084167,True
Phase Damping,|1>,0.2,0.0,0.9162907318741548,0.9162907318741549,0,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,|1>,0.2,0.05,0.9162907318741548,0.8895944060271012,0.026696325847053615,0.98682843553006,0.9867405287410262,0.013171564469939945,0.013259471258973754,8.790678903380922e-05,True
Phase Damping,|1>,0.2,0.1,0.9162907318741548,0.8655203670966742,0.05077036477748054,0.9752484565217575,0.974934312168525,0.024751543478242488,0.025065687831475003,0.000314144353232515,True
Phase Damping,|1>,0.2,0.15,0.9162907318741548,0.843767299085261,0.07252343278889373,0.9650219764406625,0.9643878643374383,0.034978023559337545,0.03561213566256172,0.0006341121032241714,True
Phase Damping,|1>,0.2,0.2,0.9162907318741548,0.8240893703752653,0.09220136149888947,0.9559607525875532,0.9549458126904932,0.0440392474124468,0.04505418730950683,0.0010149398970600298,True
Phase Damping,|1>,0.2,0.25,0.9162907318741548,0.806283902721514,0.11000682915264082,0.9479140087646837,0.9464819161132277,0.05208599123531632,0.05351808388677226,0.0014320926514559407,True
Phase Damping,|1>,0.2,0.3,0.9162907318741548,0.7901823324741964,0.12610839939995833,0.94075964272126,0.9388925846136607,0.05924035727874,0.06110741538633935,0.0018670581075993509,True
Phase Damping,|1>,0.2,0.35,0.9162907318741548,0.7756434678960351,0.14064726397811966,0.934397856599384,0.9320921162625334,0.06560214340061599,0.06790788373746659,0.0023057403368506035,True
Phase Damping,|1>,0.2,0.4,0.9162907318741548,0.7625483820001746,0.15374234987398017,0.928746462856272,0.9260091391085427,0.07125353714372795,0.07399086089145734,0.002737323747729392,True
Phase Damping,|1>,0.2,0.45,0.9162907318741548,0.7507964927416767,0.16549423913247807,0.9237373726902979,0.9205839154474709,0.07626262730970212,0.07941608455252913,0.003153457242827007,True
Phase Damping,|1>,0.2,0.5,0.9162907318741548,0.7403025202955656,0.17598821157858913,0.9193139346887674,0.9157662744267964,0.08068606531123257,0.08423372557320363,0.003547660261971064,True
Phase Damping,|1>,0.2,0.55,0.9162907318741548,0.7309941027445455,0.1852966291296093,0.915428895336064,0.911514010134857,0.08457110466393603,0.088485989865143,0.003914885201206975,True
Phase Damping,|1>,0.2,0.6,0.9162907318741548,0.7228099136023525,0.1934808182718023,0.9120428217151645,0.9077916299626965,0.08795717828483551,0.09220837003730353,0.00425119175246802,True
Phase Damping,|1>,0.2,0.65,0.9162907318741548,0.7156981675161552,0.20059256435799955,0.9091228730640085,0.9045693705449116,0.09087712693599148,0.0954306294550884,0.004553502519096919,True
Phase Damping,|1>,0.2,0.7,0.9162907318741548,0.7096154306830775,0.20667530119107724,0.9066418396811224,0.9018224211906937,0.09335816031887756,0.09817757880930633,0.004819418490428773,True
Phase Damping,|1>,0.2,0.75,0.9162907318741548,0.7045256741212533,0.21176505775290144,0.9045773899393389,0.8995303107059138,0.0954226100606611,0.10046968929408617,0.005047079233425067,True
Phase Damping,|1>,0.2,0.8,0.9162907318741548,0.700399523661386,0.21589120821276875,0.9029114820126903,0.8976764250137019,0.09708851798730966,0.10232357498629807,0.005235056998988408,True
Phase Damping,|1>,0.2,0.85,0.9162907318741548,0.6972136721750396,0.21907705969911517,0.9016299084044065,0.896247631410434,0.09837009159559351,0.10375236858956605,0.0053822769939725346,True
Phase Damping,|1>,0.2,0.9,0.9162907318741548,0.694950428357001,0.22134030351715372,0.9007219498504303,0.8952339915915063,0.0992780501495697,0.1047660084084937,0.005487958258924008,True
Phase Damping,|1>,0.2,0.95,0.9162907318741548,0.6935973831815273,0.22269334869262747,0.9001801215911968,0.8946285503952989,0.09981987840880324,0.10537144960470113,0.005551571195897886,True
Phase Damping,|1>,0.2,1.0,0.9162907318741548,0.6931471805599453,0.2231435513142095,0.9000000000000001,0.894427190999916,0.09999999999999987,0.10557280900008403,0.005572809000084167,True
Phase Damping,|+>,0.2,0.0,0.22314355131420963,0.2231435513142097,0,0.9999999999999996,1.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,True
Phase Damping,|+>,0.2,0.05,0.22314355131420963,0.1575408543035663,0.06560269701064333,0.9711153903125459,0.9677307816620222,0.0288846096874541,0.0322692183379778,0.0033846086505237016,True
Phase Damping,|+>,0.2,0.1,0.22314355131420963,0.12326508108476146,0.09987847022944817,0.9463579898362502,0.9512872276037465,0.05364201016374981,0.04871277239625349,-0.0049292377674963195,False
Phase Damping,|+>,0.2,0.15,0.22314355131420963,0.09906253186801411,0.12408101944619551,0.9249898634950665,0.9398448131667819,0.07501013650493349,0.06015518683321808,-0.014854949671715412,False
Phase Damping,|+>,0.2,0.2,0.22314355131420963,0.08061897491074224,0.14252457640346738,0.9064449064449062,0.9312176127001288,0.09355509355509384,0.06878238729987118,-0.024772706255222654,False
Phase Damping,|+>,0.2,0.25,0.22314355131420963,0.06598853251953812,0.1571550187946715,0.8902821316614415,0.924430405111049,0.10971786833855846,0.07556959488895099,-0.03414827344960747,False
Phase Damping,|+>,0.2,0.3,0.22314355131420963,0.054088828199011285,0.16905472311519834,0.8761534725594944,0.9189465112249442,0.12384652744050562,0.0810534887750558,-0.04279303866544981,False
Phase Damping,|+>,0.2,0.35,0.22314355131420963,0.04424700566547597,0.17889654564873364,0.8637811062625307,0.9144355650700273,0.13621889373746932,0.08556443492997268,-0.05065445880749664,False
Phase Damping,|+>,0.2,0.4,0.22314355131420963,0.036014417749072464,0.18712913356513716,0.8529411764705879,0.9106792159009842,0.14705882352941213,0.08932078409901578,-0.05773803943039635,False
Phase Damping,|+>,0.2,0.45,0.22314355131420963,0.029077112075911488,0.19406643923829814,0.843451913365503,0.9075258579691505,0.15654808663449704,0.09247414203084947,-0.06407394460364757,False
Phase Damping,|+>,0.2,0.5,0.22314355131420963,0.023207573575201618,0.199935977739008,0.835164835164835,0.90486638336823,0.16483516483516503,0.09513361663177,-0.06970154820339503,False
Phase Damping,|+>,0.2,0.55,0.22314355131420963,0.018236605195559613,0.20490694611865,0.8279581490669826,0.9026201449298996,0.17204185093301738,0.09737985507010039,-0.074661995862917,False
Phase Damping,|+>,0.2,0.6,0.22314355131420963,0.014035966483717854,0.20910758483049177,0.821731748726655,0.9007263438581664,0.178268251273345,0.09927365614183359,-0.07899459513151141,False
Phase Damping,|+>,0.2,0.65,0.22314355131420963,0.010507167832439504,0.2126363834817701,0.8164033894758865,0.8991385041080957,0.18359661052411347,0.1008614958919043,-0.08273511463220917,False
Phase Damping,|+>,0.2,0.7,0.22314355131420963,0.007573985068233258,0.21556956624597637,0.8119057461761053,0.8978208018282436,0.18809425382389466,0.10217919817175636,-0.0859150556521383,False
Phase Damping,|+>,0.2,0.75,0.22314355131420963,0.005177326979154372,0.21796622433505525,0.8081841432225061,0.8967455614591731,0.1918158567774939,0.10325443854082694,-0.08856141823666697,False
Phase Damping,|+>,0.2,0.8,0.22314355131420963,0.0032716509704406316,0.219871900343769,0.8051948051948049,0.8958915151564795,0.1948051948051951,0.10410848484352053,-0.09069670996167456,False
Phase Damping,|+>,0.2,0.85,0.22314355131420963,0.0018224352658341714,0.22132111604837545,0.8029035184998484,0.8952425802698365,0.19709648150015158,0.1047574197301635,-0.09233906176998807,False
Phase Damping,|+>,0.2,0.9,0.22314355131420963,0.0008043990513092736,0.22233915226290035,0.8012846246487353,0.8947870015448336,0.1987153753512647,0.1052129984551664,-0.0935023768960983,False
Phase Damping,|+>,0.2,0.95,0.22314355131420963,0.00020027373329087675,0.22294327758091875,0.800320288259433,0.8945167606208009,0.19967971174056698,0.10548323937919912,-0.09419647236136786,False
Phase Damping,|+>,0.2,1.0,0.22314355131420963,0.0,0.22314355131420963,0.7999999999999996,0.894427190999916,0.2000000000000004,0.10557280900008403,-0.09442719099991637,False
Phase Damping,Singh,0.2,0.0,0.9162907318741548,0.9162907318741547,1.1102230246251565e-16,1.0,1.0,0.0,0.0,0.0,True
Phase Damping,Singh,0.2,0.05,0.9162907318741548,0.8248230355139197,0.0914676963602351,0.9638403751678529,0.955296182176071,0.036159624832147075,0.04470381782392896,0.008544192991781885,True
Phase Damping,Singh,0.2,0.1,0.9162907318741548,0.7539335148531033,0.16235721702105144,0.9315167749131719,0.9220289945115377,0.06848322508682814,0.07797100548846225,0.009487780401634116,True
Phase Damping,Singh,0.2,0.15,0.9162907318741548,0.6926813277570799,0.22360940411707486,0.9025251089390153,0.8942188795545324,0.09747489106098473,0.10578112044546761,0.008306229384482888,True
Phase Damping,Singh,0.2,0.2,0.9162907318741548,0.6385148720421739,0.27777585983198083,0.8764635541229397,0.8703255604516157,0.12353644587706025,0.1296744395483843,0.00613799367132406,True
