stage,sigma,tau
Wake,0.237669,0.114726
Wake,0.256230,0.249530
Wake,0.172769,0.118977
Wake,0.015741,0.169341
Wake,0.549813,0.216269
Wake,0.182481,0.179758
Wake,0.109460,0.196961
Wake,0.132067,0.062786
Wake,0.113010,0.207740
Wake,0.051420,0.183001
Wake,0.070761,0.086066
Wake,0.028327,0.153201
Wake,0.098125,0.080901
Wake,0.049068,0.211789
Wake,0.006314,0.142050
Wake,0.008417,0.139947
Wake,0.006650,0.162870
Wake,0.011738,0.142378
Wake,0.124258,0.124492
Wake,0.098117,0.244175
Wake,0.103930,0.098944
Wake,0.053317,0.194109
Wake,0.066903,0.200166
Wake,0.349242,0.354316
Wake,0.018313,0.146451
Wake,0.061640,0.112746
Wake,0.121525,0.124955
Wake,0.076726,0.280075
Wake,0.049052,0.193463
Wake,0.023522,0.119725
Wake,0.134876,0.124305
Wake,0.147179,0.305986
Wake,0.029973,0.142187
Wake,0.025462,0.184249
Wake,0.074131,0.213482
Wake,0.071056,0.113739
Wake,0.042245,0.184837
Wake,0.232912,0.096328
Wake,0.109977,0.297385
Wake,0.038797,0.185530
Wake,0.008387,0.129073
Wake,0.009361,0.122863
Wake,0.073051,0.085521
Wake,0.006012,0.178814
Wake,0.063119,0.138873
Wake,0.018688,0.219943
Wake,0.053631,0.239961
Wake,0.112963,0.248797
Wake,0.014897,0.116483
Wake,0.026294,0.123076
Wake,0.048484,0.201322
Wake,0.034119,0.118391
Wake,0.009410,0.179239
Wake,0.040079,0.167450
Wake,0.042029,0.248678
Wake,0.058519,0.150497
Wake,0.148812,0.189241
Wake,0.025211,0.339211
Wake,0.306623,0.386936
Wake,0.049963,0.130477
Wake,0.048814,0.226938
Wake,0.117810,0.124913
Wake,0.185100,0.306465
Wake,0.013012,0.146480
Wake,0.053535,0.104111
Wake,0.031733,0.190755
Wake,0.020523,0.139053
Wake,0.058601,0.138527
Wake,0.045327,0.139278
Wake,0.056833,0.190430
Wake,0.012019,0.123058
Wake,0.052431,0.130323
Wake,0.038908,0.121227
Wake,0.018976,0.188358
Wake,0.065599,0.118410
Wake,0.014648,0.220584
Wake,0.041413,0.202026
Wake,0.055485,0.131624
Wake,0.126851,0.141274
Wake,0.102487,0.319058
Wake,0.013024,0.195510
Wake,0.081584,0.214545
Wake,0.021895,0.112118
Wake,0.022230,0.153502
Wake,0.019745,0.128145
Wake,0.033480,0.173869
Wake,0.067800,0.093721
Wake,0.029800,0.195588
Wake,0.048505,0.171659
Wake,0.102339,0.097290
Wake,0.038087,0.226664
Wake,0.015055,0.173590
Wake,0.026928,0.130999
Wake,0.010026,0.166902
Wake,0.019974,0.183466
Wake,0.055226,0.163205
Wake,0.011736,0.111744
Wake,0.036364,0.141319
Wake,0.013409,0.178484
Wake,0.046702,0.180001
Wake,0.097331,0.078495
Wake,0.092768,0.190860
Wake,0.026643,0.099527
Wake,0.039247,0.160720
Wake,0.080198,0.108291
Wake,0.058870,0.164591
Wake,0.059475,0.078282
Wake,0.104214,0.066463
Wake,0.038981,0.184172
Wake,0.043932,0.107764
Wake,0.081129,0.194407
Wake,0.040267,0.140405
Wake,0.007929,0.104869
Wake,0.146738,0.098948
Wake,0.166585,0.167662
Wake,0.070445,0.149126
Wake,0.033408,0.202322
Wake,0.038962,0.159861
Wake,0.043674,0.092807
Wake,0.085762,0.121388
Wake,0.019858,0.168426
Wake,0.136114,0.251678
Wake,0.019950,0.117184
Wake,0.026857,0.132482
Wake,0.027570,0.187616
Wake,0.029655,0.171081
Wake,0.061985,0.093506
Wake,0.141361,0.212154
Wake,0.097519,0.073288
Wake,0.022089,0.136598
Wake,0.025847,0.095664
Wake,0.022785,0.113471
Wake,0.035216,0.137158
Wake,0.071816,0.209063
Wake,0.030533,0.140907
Wake,0.023596,0.147337
Wake,0.064193,0.085162
Wake,0.041364,0.162478
Wake,0.019710,0.135641
Wake,0.031639,0.200558
Wake,0.017997,0.126199
Wake,0.007634,0.155157
Wake,0.007512,0.153746
Wake,0.009153,0.135106
Wake,0.005408,0.160630
Wake,0.015395,0.145587
Wake,0.011254,0.159416
Wake,0.024374,0.173254
Wake,0.016792,0.151759
Wake,0.068806,0.179527
Wake,0.032396,0.136794
Wake,0.081672,0.136231
Wake,0.035544,0.221569
Wake,0.110674,0.296081
Wake,0.018335,0.170555
Wake,0.028070,0.189914
Wake,0.034619,0.131545
Wake,0.027420,0.175746
Wake,0.015519,0.213626
Wake,0.024748,0.199799
Wake,0.014091,0.163107
Wake,0.011313,0.195101
Wake,0.041917,0.208692
Wake,0.007936,0.174372
Wake,0.007091,0.160170
Wake,0.044095,0.157057
Wake,0.032074,0.212380
Wake,0.012729,0.223164
Wake,0.111126,0.251956
Wake,0.031139,0.145290
Wake,0.007486,0.184014
Wake,0.062769,0.159543
Wake,0.095919,0.279257
Wake,0.046797,0.163951
Wake,0.034198,0.118779
Wake,0.057357,0.208252
Wake,0.016019,0.154538
Wake,0.013536,0.140952
Wake,0.160532,0.100799
Wake,0.050500,0.259193
Wake,0.045096,0.284140
Wake,0.032735,0.203702
Wake,0.082180,0.247383
Wake,0.022349,0.150935
Wake,0.040796,0.206378
Wake,0.024141,0.162169
Wake,0.011528,0.143427
Wake,0.083032,0.105359
Wake,0.026511,0.205226
Wake,0.033796,0.181364
Wake,0.004400,0.127270
Wake,0.005290,0.135390
Wake,0.023733,0.129655
Wake,0.068438,0.192917
Wake,0.059609,0.118323
Wake,0.109951,0.073621
Wake,0.016988,0.163057
Wake,0.017214,0.185112
Wake,0.054018,0.204679
Wake,0.067138,0.162706
Wake,0.118634,0.063676
Wake,0.073118,0.178805
Wake,0.019932,0.148755
Wake,0.034079,0.158885
Wake,0.015544,0.220099
Wake,0.041914,0.246181
Wake,0.086127,0.199241
Wake,0.046376,0.127471
Wake,0.014513,0.194935
Wake,0.016177,0.187922
Wake,0.011699,0.180680
Wake,0.038625,0.138868
Wake,0.005817,0.168515
Wake,0.021096,0.172536
Wake,0.091691,0.149558
Wake,0.043907,0.290771
Wake,0.035264,0.230043
Wake,0.020142,0.172195
Wake,0.031485,0.128013
Wake,0.019586,0.180279
Wake,0.078955,0.197489
Wake,0.154651,0.246314
Wake,0.128568,0.108279
Wake,0.037661,0.239023
Wake,0.073005,0.228328
Wake,0.072146,0.111060
Wake,0.091767,0.238205
Wake,0.055820,0.110015
Wake,0.052459,0.167504
Wake,0.095823,0.273385
Wake,0.017910,0.163239
Wake,0.017393,0.196020
Wake,0.084251,0.132573
Wake,0.022105,0.237538
Wake,0.067140,0.222778
Wake,0.017227,0.173150
Wake,0.005675,0.145696
Wake,0.034980,0.125227
Wake,0.052320,0.192001
Wake,0.034343,0.158663
Wake,0.014971,0.146079
Wake,0.047608,0.116488
Wake,0.147570,0.207919
Wake,0.016974,0.072942
Wake,0.047769,0.092866
Wake,0.021002,0.167816
Wake,0.011829,0.126307
Wake,0.038707,0.094707
Wake,0.165454,0.126107
Wake,0.057943,0.180342
Wake,0.008215,0.103389
Wake,0.011089,0.118912
Wake,0.097625,0.086493
Wake,0.050945,0.115274
Wake,0.021794,0.148903
Wake,0.104084,0.189634
Wake,0.120882,0.094249
Wake,0.055338,0.202147
Wake,0.138568,0.088555
Wake,0.057275,0.224299
Wake,0.007239,0.185868
Wake,0.036010,0.191611
Wake,0.009908,0.129746
Wake,0.008499,0.149725
Wake,0.018527,0.155506
Wake,0.008425,0.112756
Wake,0.008544,0.142517
Wake,0.010615,0.130978
Wake,0.018851,0.137446
Wake,0.137189,0.120432
Wake,0.241249,0.316338
Wake,0.018002,0.122433
Wake,0.010098,0.142129
Wake,0.077334,0.121756
Wake,0.022734,0.219519
Wake,0.044083,0.190255
Wake,0.255007,0.089463
Wake,0.006973,0.269723
Wake,0.197047,0.300432
Wake,0.007148,0.124347
Wake,0.014125,0.144670
Wake,0.020775,0.130107
Wake,0.011314,0.093821
Wake,0.024854,0.117602
Wake,0.009193,0.096915
Wake,0.028769,0.117805
Wake,0.033713,0.108750
Wake,0.048093,0.157277
Wake,0.024444,0.139801
Wake,0.011297,0.116244
Wake,0.026683,0.143164
Wake,0.008287,0.162287
Wake,0.010887,0.132851
Wake,0.019297,0.153152
Wake,0.038818,0.152121
Wake,0.155063,0.256818
Wake,0.008335,0.110674
Wake,0.019395,0.109063
Wake,0.029481,0.143786
Wake,0.008009,0.186626
Wake,0.024851,0.191071
Wake,0.079579,0.247918
Wake,0.046608,0.139163
Wake,0.005173,0.111882
Wake,0.016718,0.133509
Wake,0.141576,0.097516
Wake,0.025536,0.231518
Wake,0.080980,0.231688
Wake,0.030933,0.124610
Wake,0.022275,0.172698
Wake,0.088956,0.138286
Wake,0.063457,0.233987
Wake,0.019294,0.153334
Wake,0.071261,0.172614
Wake,0.044418,0.161043
Wake,0.020914,0.228798
Wake,0.039600,0.202128
Wake,0.011211,0.129515
Wake,0.121357,0.126864
Wake,0.026858,0.265897
Wake,0.219442,0.160931
Wake,0.081832,0.394948
Wake,0.036083,0.283087
Wake,0.049823,0.284987
Wake,0.041025,0.198041
Wake,0.024927,0.247590
Wake,0.197309,0.291672
Wake,0.415459,0.073082
Wake,0.131762,0.323948
Wake,0.018397,0.211218
Wake,0.015844,0.175965
Wake,0.057455,0.154444
Wake,0.114652,0.213490
Wake,0.038036,0.131925
Wake,0.019924,0.187891
Wake,0.023083,0.135938
Wake,0.064334,0.214958
Wake,0.031770,0.152836
Wake,0.024836,0.174132
Wake,0.025278,0.185025
Wake,0.063466,0.154726
Wake,0.010731,0.173154
Wake,0.059564,0.212171
Wake,0.054376,0.123934
Wake,0.022715,0.202889
Wake,0.032564,0.144323
Wake,0.054684,0.204423
Wake,0.025014,0.167459
Wake,0.025455,0.164975
Wake,0.021225,0.212575
Wake,0.012250,0.207757
Wake,0.051342,0.187699
Wake,0.135064,0.198970
Wake,0.221574,0.374011
Wake,0.009782,0.181681
Wake,0.019684,0.170632
Wake,0.120091,0.184748
Wake,0.070434,0.220769
Wake,0.029642,0.229403
Wake,0.030136,0.176263
Wake,0.057734,0.125630
Wake,0.020364,0.202573
Wake,0.022024,0.170207
Wake,0.040920,0.107152
Wake,0.054728,0.146429
Wake,0.052200,0.260388
Wake,0.019663,0.186869
Wake,0.058145,0.143001
Wake,0.065589,0.184341
Wake,0.067162,0.229537
Wake,0.004459,0.145168
Wake,0.041492,0.139076
Wake,0.024777,0.223755
Wake,0.018267,0.187553
Wake,0.046376,0.137688
Wake,0.077632,0.231855
Wake,0.044284,0.118348
Wake,0.029820,0.168831
Wake,0.028566,0.227368
Wake,0.039998,0.189058
Wake,0.024088,0.127728
Wake,0.004594,0.159799
Wake,0.016244,0.145843
Wake,0.016753,0.181287
Wake,0.028755,0.177095
Wake,0.091976,0.106578
Wake,0.049583,0.170865
Wake,0.063168,0.082485
Wake,0.076582,0.139618
Wake,0.055968,0.253681
Wake,0.021547,0.157821
Wake,0.016793,0.192838
Wake,0.017547,0.166306
Wake,0.006784,0.157251
Wake,0.011767,0.144967
Wake,0.034342,0.103532
Wake,0.182602,0.106415
Wake,0.025345,0.249110
Wake,0.190007,0.307094
Wake,0.130538,0.103582
Wake,0.059886,0.242121
Wake,0.018336,0.171461
Wake,0.068221,0.244348
Wake,0.097049,0.148925
Wake,0.086415,0.266058
Wake,0.013533,0.160214
Wake,0.017046,0.183371
Wake,0.008417,0.161539
Wake,0.013483,0.139771
Wake,0.086880,0.130009
Wake,0.048303,0.252139
Wake,0.199877,0.153751
Wake,0.314599,0.396112
Wake,0.037441,0.154140
Wake,0.052525,0.129319
Wake,0.058653,0.146167
Wake,0.028442,0.183129
Wake,0.035669,0.256062
Wake,0.023057,0.194258
Wake,0.008724,0.211596
Wake,0.125605,0.283600
Wake,0.145382,0.125064
Wake,0.012134,0.202315
Wake,0.073955,0.212019
Wake,0.081887,0.141508
Wake,0.012619,0.166829
Wake,0.027622,0.150013
Wake,0.008763,0.192524
Wake,0.030440,0.159025
Wake,0.085736,0.227958
Wake,0.019739,0.146063
Wake,0.044739,0.151997
Wake,0.023880,0.094620
Wake,0.006621,0.135198
Wake,0.021585,0.126620
Wake,0.110334,0.146998
Wake,0.075614,0.267149
Wake,0.025374,0.207290
Wake,0.009164,0.167190
Wake,0.021447,0.159348
Wake,0.115537,0.147498
Wake,0.016080,0.153583
Wake,0.050554,0.152289
Wake,0.057707,0.226873
Wake,0.055305,0.194889
Wake,0.094729,0.235650
Wake,0.163581,0.392184
Wake,0.052308,0.234259
Wake,0.037997,0.280637
Wake,0.148837,0.187819
Wake,0.082657,0.260576
Wake,0.017830,0.203846
Wake,0.018089,0.177844
Wake,0.111317,0.138593
Wake,0.074325,0.253159
Wake,0.031972,0.134531
Wake,0.088518,0.205499
Wake,0.026669,0.164251
Wake,0.299927,0.072448
Wake,0.022051,0.251561
Wake,0.055188,0.232102
Wake,0.123707,0.285286
Wake,0.053895,0.142737
Wake,0.046613,0.204651
Wake,0.032199,0.141226
Wake,0.006519,0.193158
Wake,0.038616,0.172121
Wake,0.030258,0.255336
Wake,0.007720,0.188073
Wake,0.042005,0.230911
Wake,0.008676,0.157095
Wake,0.013279,0.135256
Wake,0.015016,0.142535
Wake,0.026755,0.185842
Wake,0.060286,0.180240
Wake,0.060332,0.116387
Wake,0.251522,0.301513
Wake,0.011512,0.125902
Wake,0.009680,0.113864
Wake,0.029374,0.102168
Wake,0.014391,0.136289
Wake,0.051041,0.170393
Wake,0.141528,0.182602
Wake,0.017158,0.156142
Wake,0.104723,0.195942
Wake,0.072192,0.108554
Wake,0.019969,0.123671
Wake,0.009774,0.157244
Wake,0.095608,0.229898
Wake,0.031183,0.139629
Wake,0.027265,0.187842
Wake,0.107525,0.098576
Wake,0.026339,0.231002
Wake,0.022506,0.204359
Wake,0.067301,0.259538
Wake,0.077747,0.222980
Wake,0.017574,0.122269
Wake,0.016981,0.140118
Wake,0.029850,0.160078
Wake,0.011110,0.186240
Wake,0.063639,0.207322
Wake,0.079744,0.130394
Wake,0.095442,0.239746
Wake,0.006716,0.147136
Wake,0.021967,0.161912
Wake,0.043694,0.130799
Wake,0.019813,0.177686
Wake,0.017429,0.142089
Wake,0.030482,0.142826
Wake,0.076516,0.225398
Wake,0.021048,0.118580
Wake,0.013056,0.155343
Wake,0.013719,0.147577
Wake,0.060685,0.145854
Wake,0.071427,0.164554
Wake,0.157264,0.279567
Wake,0.050828,0.126114
Wake,0.021424,0.118007
Wake,0.045373,0.164129
Wake,0.024938,0.124960
Wake,0.028911,0.097594
Wake,0.109801,0.088005
Wake,0.022797,0.177293
Wake,0.028199,0.116781
Wake,0.008985,0.151044
Wake,0.076287,0.144059
Wake,0.019406,0.181479
Wake,0.008313,0.163639
Wake,0.139355,0.172398
Wake,0.090570,0.289830
Wake,0.028080,0.180043
Wake,0.132864,0.180713
Wake,0.051755,0.155949
Wake,0.032209,0.165046
Wake,0.028314,0.098836
Wake,0.034334,0.163414
Wake,0.023413,0.100291
Wake,0.011453,0.127405
Wake,0.026353,0.130828
Wake,0.031744,0.169838
Wake,0.120559,0.212712
Wake,0.048125,0.074367
Wake,0.040568,0.109310
Wake,0.009727,0.181872
Wake,0.045595,0.175244
Wake,0.039714,0.092156
Wake,0.073489,0.178187
Wake,0.044958,0.168094
Wake,0.037318,0.117370
Wake,0.009679,0.150856
Wake,0.013927,0.184266
Wake,0.015159,0.130185
Wake,0.038197,0.194058
Wake,0.011529,0.126041
Wake,0.020138,0.155076
Wake,0.068051,0.091677
Wake,0.016216,0.182483
Wake,0.018077,0.129769
Wake,0.042591,0.189051
Wake,0.052269,0.100628
Wake,0.047589,0.159676
Wake,0.045809,0.092747
Wake,0.020574,0.152357
Wake,0.003177,0.104707
Wake,0.011060,0.116906
Wake,0.023529,0.119866
Wake,0.028550,0.100173
Wake,0.031585,0.120366
Wake,0.028528,0.172771
Wake,0.005842,0.114114
Wake,0.008933,0.131094
Wake,0.013511,0.100415
Wake,0.007500,0.131653
Wake,0.023058,0.129124
Wake,0.020691,0.139236
Wake,0.041543,0.157412
Wake,0.011698,0.087889
Wake,0.011225,0.112033
Wake,0.008089,0.127417
Wake,0.004827,0.142529
Wake,0.015101,0.118932
Wake,0.009082,0.140631
Wake,0.035069,0.116058
Wake,0.039975,0.207996
Wake,0.004378,0.140343
Wake,0.013315,0.116273
Wake,0.008949,0.159244
Wake,0.011808,0.150541
Wake,0.011755,0.135959
Wake,0.008459,0.103302
Wake,0.031449,0.101085
Wake,0.008032,0.146646
Wake,0.053323,0.206151
Wake,0.055942,0.101729
Wake,0.008976,0.177776
Wake,0.011734,0.182554
Wake,0.014587,0.156854
Wake,0.028897,0.170145
Wake,0.005722,0.123543
Wake,0.006464,0.141695
Wake,0.033678,0.106792
Wake,0.011834,0.167477
Wake,0.031422,0.156013
Wake,0.012811,0.124879
Wake,0.037410,0.170816
Wake,0.019169,0.103092
Wake,0.028710,0.120464
Wake,0.016963,0.172053
Wake,0.109418,0.100453
Wake,0.101353,0.240536
Wake,0.075026,0.236583
Wake,0.023435,0.229598
Wake,0.045366,0.246699
Wake,0.056182,0.211258
Wake,0.068097,0.105890
Wake,0.028360,0.184112
Wake,0.005430,0.147848
Wake,0.006355,0.149586
Wake,0.044256,0.127000
Wake,0.184465,0.213856
Wake,0.104706,0.205081
Wake,0.025936,0.114376
Wake,0.034923,0.159168
Wake,0.036987,0.160321
Wake,0.021790,0.134362
Wake,0.010769,0.157115
Wake,0.081022,0.109144
Wake,0.054494,0.179193
Wake,0.050558,0.182988
Wake,0.076003,0.154029
Wake,0.125433,0.068158
Wake,0.017797,0.172952
Wake,0.021874,0.147247
Wake,0.174718,0.086428
Wake,0.045927,0.247746
Wake,0.076484,0.167908
Wake,0.038730,0.159585
Wake,0.054713,0.081319
Wake,0.010393,0.155091
Wake,0.033785,0.175620
Wake,0.020746,0.108927
Wake,0.026307,0.108949
Wake,0.057426,0.175147
Wake,0.065026,0.146810
Wake,0.019465,0.250369
Wake,0.132399,0.242757
Wake,0.049649,0.100075
Wake,0.037013,0.142881
Wake,0.007497,0.206442
Wake,0.009973,0.192151
Wake,0.034414,0.219834
Wake,0.049804,0.148389
Wake,0.023133,0.225918
Wake,0.025546,0.199129
Wake,0.027965,0.236966
Wake,0.013127,0.189451
Wake,0.021872,0.189031
Wake,0.016103,0.154939
Wake,0.039687,0.166370
Wake,0.038618,0.241170
Wake,0.072397,0.171444
Wake,0.173402,0.280950
Wake,0.039216,0.153013
Wake,0.064677,0.140339
Wake,0.044783,0.201297
Wake,0.007234,0.126478
Wake,0.030771,0.111938
Wake,0.037175,0.144882
Wake,0.043514,0.100332
Wake,0.030419,0.161820
Wake,0.012242,0.148821
Wake,0.020485,0.150371
Wake,0.084203,0.131518
Wake,0.207302,0.144362
Wake,0.119489,0.230303
Wake,0.010546,0.104443
Wake,0.013077,0.138014
Wake,0.011178,0.095084
Wake,0.008088,0.118287
Wake,0.027891,0.152600
Wake,0.009298,0.098810
Wake,0.008808,0.125901
Wake,0.020781,0.111020
Wake,0.078343,0.120209
Wake,0.074870,0.252608
Wake,0.006263,0.154050
Wake,0.024462,0.165825
Wake,0.055539,0.150948
Wake,0.137922,0.136761
Wake,0.071615,0.240381
Wake,0.101389,0.139359
Wake,0.141705,0.279146
Wake,0.027143,0.162852
Wake,0.025945,0.108533
Wake,0.095571,0.116875
Wake,0.137800,0.264354
Wake,0.038999,0.151855
Wake,0.016477,0.149543
Wake,0.005407,0.125459
Wake,0.094028,0.096482
Wake,0.044439,0.226078
Wake,0.035725,0.187734
Wake,0.020125,0.120911
Wake,0.027451,0.143905
Wake,0.012287,0.181718
Wake,0.038099,0.150526
Wake,0.008661,0.196337
Wake,0.030384,0.216338
Wake,0.036543,0.199568
Wake,0.078957,0.257282
Wake,0.053411,0.183285
Wake,0.036096,0.131388
Wake,0.099986,0.160852
Wake,0.028997,0.192799
Wake,0.031352,0.142178
Wake,0.072668,0.247336
Wake,0.008202,0.146199
Wake,0.018707,0.182433
Wake,0.031510,0.172700
Wake,0.022440,0.127201
Wake,0.045086,0.165971
Wake,0.098361,0.064770
Wake,0.014855,0.143740
Wake,0.010183,0.173623
Wake,0.035211,0.211223
Wake,0.085331,0.120985
Wake,0.020958,0.232381
Wake,0.006005,0.182124
Wake,0.017507,0.160448
Wake,0.045630,0.240056
Wake,0.023873,0.147785
Wake,0.004126,0.172548
Wake,0.044112,0.211935
Wake,0.008135,0.131165
Wake,0.052990,0.179669
Wake,0.009368,0.099096
Wake,0.106541,0.172898
Wake,0.011875,0.069776
Wake,0.194347,0.054434
Wake,0.043750,0.178511
Wake,0.188619,0.136994
Wake,0.051383,0.241734
Wake,0.008925,0.171664
Wake,0.020315,0.161054
Wake,0.134154,0.084643
Wake,0.014362,0.178519
Wake,0.076727,0.238980
Wake,0.039863,0.137724
Wake,0.066289,0.179245
Wake,0.016834,0.114948
Wake,0.003563,0.134564
Wake,0.010660,0.138389
Wake,0.035070,0.124340
Wake,0.014023,0.156858
Wake,0.089025,0.138274
Wake,0.072119,0.229597
Wake,0.019516,0.143140
Wake,0.021956,0.183983
Wake,0.048841,0.146716
Wake,0.006925,0.113530
Wake,0.006828,0.123479
Wake,0.017476,0.155882
Wake,0.059347,0.162667
Wake,0.038553,0.074791
Wake,0.034730,0.106002
Wake,0.054505,0.189526
Wake,0.061716,0.140668
Wake,0.002677,0.101456
Wake,0.056615,0.084576
Wake,0.011700,0.137444
Wake,0.016132,0.175981
Wake,0.039619,0.169099
Wake,0.043094,0.103660
Wake,0.023031,0.158771
Wake,0.019729,0.149845
Wake,0.032340,0.164583
Wake,0.008452,0.101792
Wake,0.019963,0.137943
Wake,0.111686,0.076334
Wake,0.083017,0.210805
Wake,0.022592,0.136154
Wake,0.126754,0.060990
Wake,0.020833,0.158376
Wake,0.147798,0.252001
Wake,0.118827,0.078484
Wake,0.037405,0.209062
Wake,0.026343,0.126737
Wake,0.086854,0.185674
Wake,0.027696,0.145183
Wake,0.075795,0.086884
Wake,0.014687,0.173404
Wake,0.062319,0.181943
Wake,0.045060,0.080006
Wake,0.060918,0.134481
Wake,0.066303,0.195779
Wake,0.072511,0.150182
Wake,0.121545,0.055370
Wake,0.024688,0.127213
Wake,0.007455,0.114873
Wake,0.016033,0.140396
Wake,0.004119,0.120954
Wake,0.008239,0.121374
Wake,0.025737,0.140693
Wake,0.004532,0.090037
Wake,0.019628,0.088302
Wake,0.113975,0.087831
Wake,0.028654,0.218788
Wake,0.007914,0.167883
Wake,0.045141,0.163573
Wake,0.022795,0.153118
Wake,0.028249,0.127003
Wake,0.056376,0.088996
Wake,0.028637,0.171830
Wake,0.009308,0.124777
Wake,0.040611,0.116662
Wake,0.004952,0.143073
Wake,0.031816,0.165820
Wake,0.049437,0.087057
Wake,0.050320,0.116421
Wake,0.111061,0.243785
Wake,0.042780,0.147391
Wake,0.149212,0.237642
Wake,0.037517,0.090336
Wake,0.203162,0.059115
Wake,0.045837,0.201162
Wake,0.019856,0.120635
Wake,0.013543,0.181942
Wake,0.016535,0.145636
Wake,0.051560,0.133459
Wake,0.031236,0.179505
Wake,0.021458,0.151864
Wake,0.134709,0.266712
Wake,0.153743,0.091148
Wake,0.109802,0.245954
Wake,0.058247,0.103632
Wake,0.112013,0.237219
Wake,0.009985,0.121779
Wake,0.011975,0.133671
Wake,0.022269,0.128707
Wake,0.008066,0.143004
Wake,0.056640,0.129602
Wake,0.052422,0.247354
Wake,0.040253,0.174434
Wake,0.026924,0.114268
Wake,0.138871,0.228412
Wake,0.075077,0.091787
Wake,0.076338,0.166176
Wake,0.015610,0.140947
Wake,0.104833,0.085568
Wake,0.016016,0.170227
Wake,0.013508,0.218478
Wake,0.018483,0.199060
Wake,0.028711,0.140743
Wake,0.010846,0.184141
Wake,0.042140,0.210470
Wake,0.022112,0.124959
Wake,0.076854,0.186730
Wake,0.054152,0.070441
Wake,0.024450,0.141572
Wake,0.036527,0.142061
Wake,0.061696,0.103140
Wake,0.093316,0.141203
Wake,0.018253,0.129769
Wake,0.100190,0.185439
Wake,0.094376,0.069514
Wake,0.011299,0.154004
Wake,0.040603,0.166155
Wake,0.067120,0.182862
Wake,0.105293,0.079358
Wake,0.025998,0.186009
Wake,0.010332,0.128770
Wake,0.004203,0.134737
Wake,0.004691,0.143954
Wake,0.012311,0.150299
Wake,0.025105,0.143740
Wake,0.106907,0.073679
Wake,0.029042,0.190551
Wake,0.025458,0.141519
Wake,0.057595,0.110533
Wake,0.019837,0.140500
Wake,0.021063,0.172314
Wake,0.015959,0.121135
Wake,0.090321,0.093344
Wake,0.070337,0.194997
Wake,0.012801,0.139081
Wake,0.024699,0.120268
Wake,0.006962,0.126246
Wake,0.009762,0.107237
Wake,0.012918,0.124256
Wake,0.025874,0.143194
Wake,0.010280,0.098673
Wake,0.021211,0.113066
Wake,0.025753,0.131538
Wake,0.049454,0.082414
Wake,0.018163,0.105056
Wake,0.028342,0.103090
Wake,0.023675,0.062769
Wake,0.015400,0.064989
Wake,0.024596,0.090875
Wake,0.012969,0.120650
Wake,0.087431,0.080540
Wake,0.057895,0.184260
Wake,0.028195,0.097641
Wake,0.015610,0.122633
Wake,0.015534,0.145927
Wake,0.003594,0.124916
Wake,0.052238,0.085712
Wake,0.012336,0.145278
Wake,0.052128,0.198961
Wake,0.043430,0.152591
Wake,0.024488,0.098747
Wake,0.023314,0.085805
Wake,0.066607,0.097445
Wake,0.076599,0.172455
Wake,0.053745,0.103032
Wake,0.015995,0.108306
Wake,0.013618,0.139368
Wake,0.022779,0.095399
Wake,0.046746,0.158041
Wake,0.006077,0.090593
Wake,0.018289,0.096752
Wake,0.008323,0.091730
Wake,0.014613,0.093178
Wake,0.050079,0.077161
Wake,0.021790,0.126392
Wake,0.108317,0.202760
Wake,0.242220,0.054813
Wake,0.079087,0.243202
Wake,0.035934,0.157200
Wake,0.031676,0.081582
Wake,0.006169,0.119693
Wake,0.031543,0.156883
Wake,0.012705,0.097998
Wake,0.019341,0.102705
Wake,0.005949,0.143491
Wake,0.043267,0.113390
Wake,0.071149,0.224990
Wake,0.016936,0.119787
Wake,0.017001,0.160972
Wake,0.003128,0.135500
Wake,0.016433,0.128066
Wake,0.007249,0.145272
Wake,0.030091,0.138400
Wake,0.022248,0.209935
Wake,0.030593,0.184440
Wake,0.030191,0.178998
Wake,0.111394,0.221212
Wake,0.034570,0.116426
Wake,0.084186,0.158369
Wake,0.015967,0.250846
Wake,0.131125,0.315405
Wake,0.041631,0.152382
Wake,0.019063,0.212876
Wake,0.022863,0.216936
Wake,0.041206,0.195317
Wake,0.024185,0.139973
Wake,0.005022,0.098113
Wake,0.010981,0.103567
Wake,0.013957,0.100878
Wake,0.013323,0.122712
Wake,0.010962,0.103663
Wake,0.015178,0.111940
Wake,0.012498,0.099716
Wake,0.033946,0.080662
Wake,0.010988,0.100158
Wake,0.003193,0.105513
Wake,0.004851,0.105974
Wake,0.035895,0.132233
Wake,0.010253,0.072690
Wake,0.006245,0.090175
Wake,0.096475,0.057229
Wake,0.036656,0.148847
Wake,0.051456,0.132610
Wake,0.036171,0.168651
Wake,0.006464,0.126956
Wake,0.013118,0.142997
Wake,0.032511,0.097679
Wake,0.012923,0.151760
Wake,0.042145,0.151844
Wake,0.009104,0.141820
Wake,0.005953,0.174047
Wake,0.021164,0.151781
Wake,0.019281,0.166474
Wake,0.129980,0.249115
Wake,0.097286,0.092032
Wake,0.047114,0.204771
Wake,0.007484,0.154500
Wake,0.081639,0.205834
Wake,0.015452,0.123377
Wake,0.007160,0.154409
Wake,0.053216,0.162338
Wake,0.053892,0.221731
Wake,0.026205,0.126063
Wake,0.018050,0.188596
Wake,0.013176,0.150838
Wake,0.021866,0.127165
Wake,0.084428,0.123012
Wake,0.010032,0.191833
Wake,0.062007,0.216948
